Location,Shannon,Temperature,pH,Latitude
Plant rhizosphere,5.752239521,15,6.82,33.194
Plant rhizosphere,5.729688209,15,6.82,33.194
Plant rhizosphere,5.236331105,15,6.82,33.194
Water (ns),6.070224026,18.1,6.84,53.1
Water (ns),9.111645854,15.44,6.84,55.905
Water (ns),5.36998995,19.9,6.86,53.1
Water (ns),4.491632516,19.9,6.86,53.1
Water (ns),8.079563676,11.84,6.87,55.905
Water (ns),3.966105386,9.22,6.9,55.905
Water (ns),4.640262276,16.42,6.9,55.906
Water (ns),5.469925872,15.6,6.9,68.50508
Water (ns),6.674228312,18.8,6.9,68.51007
Water (ns),6.776459849,8.96,6.9,68.571037
Water (ns),8.991442857,9.85,6.9,68.571037
Water (ns),5.580643449,11.85,6.9,68.571037
Water (ns),6.971686942,9.6,6.9,68.574
Water (ns),8.166743995,11.9,6.9,68.574
Water (ns),6.902803059,11.9,6.9,68.574
Water (ns),6.835113909,12.3,6.9,68.574
Water (ns),6.526283947,12.3,6.9,68.574
Water (ns),7.356027767,12.7,6.9,68.574
Water (ns),7.82758037,12.8,6.9,68.574
Water (ns),6.009758683,15.36,6.9,68.574673
Water (ns),7.519866629,9,6.9,68.57478333
Water (ns),8.278452476,9,6.9,68.57478333
Water (ns),5.820664816,11.6,6.9,68.57478333
Water (ns),5.626143155,9.89,6.9,68.578931
Water (ns),6.040294215,11.91,6.9,68.578931
Water (ns),5.682321127,13.21,6.9,68.578931
Water (ns),4.335321445,9.07,6.9,68.582062
Water (ns),6.023032017,12.95,6.9,68.587573
Water (ns),6.828568248,8.9,6.9,68.59491667
Water (ns),7.663265963,12.5,6.9,68.59491667
Water (ns),6.028314755,10.5,6.9,68.595875
Water (ns),10.77970139,8.5,6.9,68.59688333
Water (ns),7.161012261,9.7,6.9,68.59688333
Water (ns),6.002137027,14.9,6.9,68.6
Water (ns),8.071710289,10.91,6.9,68.600601
Water (ns),4.349271869,16.3,6.9,68.60895
Water (ns),3.995423679,0.75,6.9,68.609717
Water (ns),6.179517908,2.6,6.9,68.609717
Water (ns),5.032322645,6.96,6.9,68.609717
Water (ns),8.731997852,9.8,6.9,68.61035
Water (ns),6.2480869,12.6,6.9,68.61035
Water (ns),6.105950283,10,6.9,68.610781
Water (ns),7.665702583,7.6,6.9,68.61818333
Water (ns),6.955185187,9.4,6.9,68.61818333
Water (ns),6.379968521,11,6.9,68.61818333
Water (ns),6.572447428,13,6.9,68.61818333
Water (ns),7.194926894,14.7,6.9,68.61818333
Water (ns),3.904078227,14.8,6.9,68.61818333
Water (ns),9.142610953,14.8,6.9,68.61818333
Water (ns),5.892382942,14.8,6.9,68.61818333
Water (ns),4.999008591,14.8,6.9,68.61818333
Water (ns),7.764171796,14.9,6.9,68.61818333
Water (ns),7.424276846,14.9,6.9,68.61818333
Water (ns),5.76233046,15,6.9,68.61818333
Water (ns),5.887206172,10.9,6.9,68.61838333
Water (ns),9.774988965,12.5,6.9,68.61838333
Water (ns),3.533569668,14.8,6.9,68.61838333
Water (ns),3.621834485,14.8,6.9,68.61838333
Water (ns),5.286347114,14.8,6.9,68.61838333
Water (ns),6.807446205,1.3,6.9,68.6256
Water (ns),6.624627579,1.81,6.9,68.629961
Water (ns),6.612369573,1.9,6.9,68.629961
Water (ns),7.01511484,2.03,6.9,68.629961
Water (ns),5.695471809,2.59,6.9,68.629961
Water (ns),6.771078867,2.97,6.9,68.629961
Water (ns),6.472583156,3.01,6.9,68.629961
Water (ns),7.101060091,3.42,6.9,68.629961
Water (ns),6.421702834,4.96,6.9,68.629961
Water (ns),6.912917277,5.12,6.9,68.629961
Water (ns),5.420961439,5.19,6.9,68.629961
Water (ns),6.640863917,5.26,6.9,68.629961
Water (ns),6.309424876,5.26,6.9,68.629961
Water (ns),6.329351508,5.28,6.9,68.629961
Water (ns),6.120823514,5.28,6.9,68.629961
Water (ns),6.816783677,5.29,6.9,68.629961
Water (ns),6.482307042,5.29,6.9,68.629961
Water (ns),6.741711596,5.3,6.9,68.629961
Water (ns),5.894198637,5.3,6.9,68.629961
Water (ns),5.952077646,5.33,6.9,68.629961
Water (ns),6.83648996,5.4,6.9,68.629961
Water (ns),6.854276789,5.46,6.9,68.629961
Water (ns),6.076272917,5.46,6.9,68.629961
Water (ns),6.497067856,5.46,6.9,68.629961
Water (ns),5.390520572,5.47,6.9,68.629961
Water (ns),6.614929743,5.92,6.9,68.629961
Water (ns),6.565203829,6.13,6.9,68.629961
Water (ns),4.222141222,6.16,6.9,68.629961
Water (ns),6.678821703,6.27,6.9,68.629961
Water (ns),6.275853201,2.7,6.9,68.632586
Water (ns),4.69104788,14.1,6.9,68.79496
Water (ns),4.807140838,14.6,6.9,68.79496
Water (ns),6.430935135,14.4,6.9,68.82153
Water (ns),6.016886294,15,6.9,68.82153
Water (ns),6.745933015,15.6,6.9,68.82153
Soil (ns),6.118530244,17.42,6.92,55.873
Soil (ns),8.743574391,15,6.94,33.194
Soil (ns),8.927291255,15,6.94,33.194
Soil (ns),8.738986907,15,6.94,33.194
Soil (ns),8.16827591,15,6.94,33.194
Soil (ns),8.312085578,15,6.94,33.194
Soil (ns),8.368103088,15,6.94,33.194
Plant rhizosphere,5.237147567,15,6.94,33.194
Plant rhizosphere,4.486538063,15,6.94,33.194
Water (ns),9.312734696,13.68,6.94,55.906
Water (ns),3.25970958,16.5,6.94,55.906
Water (ns),8.511439578,14.02,6.98,55.905
Water (ns),8.72898811,14.02,6.98,55.905
Water (ns),4.050788666,24,6.99,53.1
Water (ns),3.456760853,24,6.99,53.1
Water (ns),4.379627776,19.2,7,53.1
Water (ns),3.962670372,19.2,7,53.1
Water (ns),6.006513874,17.38,7,55.873
Soil (ns),6.32959765,17.4,7,55.873
Water (ns),9.168807846,13.4,7,55.905
Water (ns),8.635685157,14.88,7,55.905
Water (ns),7.645160546,14.44,7,55.906
Water (ns),8.879471625,16.9,7,55.906
Water (ns),5.71685699,16.1,7,68.50245
Water (ns),6.65164833,17.9,7,68.50245
Water (ns),7.287982371,15.8,7,68.51007
Water (ns),5.285559102,13.3,7,68.556769
Water (ns),6.541944956,12.1,7,68.5684
Water (ns),6.053560795,12.39,7,68.5684
Water (ns),5.54315759,13.77,7,68.5684
Water (ns),6.177579954,14.92,7,68.571037
Water (ns),9.521979824,2.9,7,68.57366667
Water (ns),7.004403146,8,7,68.574
Water (ns),6.746028532,13.3,7,68.574
Water (ns),6.436599138,8.62,7,68.574673
Water (ns),5.446206972,9.48,7,68.574673
Water (ns),6.389054825,11.35,7,68.574673
Water (ns),9.395677923,13.5,7,68.578643
Water (ns),6.919082355,8.99,7,68.578931
Water (ns),6.66527284,9.01,7,68.578931
Water (ns),5.701017396,10.43,7,68.578931
Water (ns),6.46052634,15.78,7,68.578931
Water (ns),6.297988718,2.06,7,68.582062
Water (ns),6.292731808,3.1,7,68.582062
Water (ns),7.292343685,9.8,7,68.58423333
Water (ns),8.15559785,12.3,7,68.58423333
Water (ns),6.498661901,17.3,7,68.585
Water (ns),9.394943619,9.4,7,68.585839
Water (ns),8.900818954,14,7,68.585839
Water (ns),6.527174251,9.56,7,68.587573
Water (ns),6.75403514,12.39,7,68.587573
Water (ns),6.19031678,13.07,7,68.587573
Water (ns),5.576831704,13.6,7,68.587573
Water (ns),6.306013944,15.74,7,68.587573
Water (ns),5.986938897,15.6,7,68.59491667
Water (ns),8.283655494,16.2,7,68.59491667
Water (ns),6.279555791,8.36,7,68.595875
Water (ns),7.016470927,8.79,7,68.595875
Water (ns),5.916467576,13.56,7,68.595875
Water (ns),3.672406832,7.8,7,68.59688333
Water (ns),10.31621383,7.8,7,68.59688333
Water (ns),10.4980924,9.9,7,68.59688333
Water (ns),4.866617004,8.8,7,68.6
Water (ns),5.181226247,15.26,7,68.600601
Water (ns),7.132093709,13.8,7,68.60853333
Water (ns),4.478718668,17,7,68.60853333
Water (ns),5.609653057,10.02,7,68.609717
Water (ns),6.391942277,13.86,7,68.609717
Water (ns),6.627639,10.23,7,68.610781
Water (ns),6.255532102,11.01,7,68.610781
Water (ns),6.818688203,11.25,7,68.610781
Water (ns),5.909264718,12.79,7,68.610781
Water (ns),6.043629861,14,7,68.610781
Water (ns),5.29888082,14.67,7,68.610781
Water (ns),5.208281754,16.23,7,68.610781
Water (ns),6.275512697,15.7,7,68.611341
Water (ns),7.214435891,8.1,7,68.61818333
Water (ns),8.956671785,12.5,7,68.61818333
Water (ns),7.807846316,12.8,7,68.61818333
Water (ns),8.050611572,13.3,7,68.61818333
Water (ns),5.476607298,13.3,7,68.61818333
Water (ns),7.655610884,13.5,7,68.61818333
Water (ns),7.8835602,13.9,7,68.61818333
Water (ns),8.04596304,14.1,7,68.61818333
Water (ns),8.402572796,17.9,7,68.61818333
Water (ns),6.572478314,7.9,7,68.61838333
Water (ns),5.932789281,10.5,7,68.61838333
Water (ns),6.142779287,12.2,7,68.61838333
Water (ns),7.222399348,16.5,7,68.62538
Water (ns),5.667273641,17.5,7,68.62538
Water (ns),5.816700075,17.5,7,68.62538
Water (ns),6.856027025,9.4,7,68.6256
Water (ns),3.553575545,14,7,68.6256
Water (ns),6.085115338,1.11,7,68.629961
Water (ns),6.727891544,2.08,7,68.629961
Water (ns),6.636025905,2.59,7,68.629961
Water (ns),6.904936461,4.1,7,68.629961
Water (ns),6.3745499,4.32,7,68.629961
Water (ns),6.640646193,4.46,7,68.629961
Water (ns),6.329401751,4.57,7,68.629961
Water (ns),6.360566226,4.68,7,68.629961
Water (ns),6.139690162,4.75,7,68.629961
Water (ns),6.561386278,4.81,7,68.629961
Water (ns),6.829555908,4.93,7,68.629961
Water (ns),5.893564616,5.1,7,68.629961
Water (ns),6.487901858,5.1,7,68.629961
Water (ns),6.575969934,5.19,7,68.629961
Water (ns),6.420275502,5.19,7,68.629961
Water (ns),6.38338214,5.25,7,68.629961
Water (ns),6.477695211,5.48,7,68.629961
Water (ns),6.172600359,5.52,7,68.629961
Water (ns),6.670334986,5.73,7,68.629961
Water (ns),6.645142344,5.8,7,68.629961
Water (ns),5.96626314,5.85,7,68.629961
Water (ns),6.710069448,5.99,7,68.629961
Water (ns),2.874511353,6.03,7,68.629961
Water (ns),8.141629963,6.16,7,68.629961
Water (ns),5.815372619,6.46,7,68.629961
Water (ns),6.13971886,6.5,7,68.629961
Water (ns),6.304378305,13.15,7,68.629961
Water (ns),6.626594252,20.6,7,68.81046
Water (ns),6.456319677,19.3,7,68.82153
Water (ns),6.435289235,19,7,68.98633
Water (ns),6.437236968,24.1,7.03,53.1
Water (ns),6.183345129,24.1,7.03,53.1
Water (ns),4.776980585,12.16,7.04,55.906
Water (ns),9.269500084,13.36,7.08,55.905
Water (ns),8.256056228,14.1,7.08,55.905
Water (ns),5.470759647,13.98,7.1,55.873
Water (ns),5.432843271,17.3,7.1,55.873
Water (ns),5.345263965,17.52,7.1,55.873
Water (ns),4.822464313,18.06,7.1,55.873
Water (ns),4.359869673,13.48,7.1,55.905
Water (ns),8.616403691,13.48,7.1,55.905
Water (ns),6.906718196,16.2,7.1,55.905
Water (ns),5.163074311,16.3,7.1,55.905
Water (ns),8.943925854,16.66,7.1,55.905
Water (ns),5.723085934,16.8,7.1,55.905
Water (ns),7.574285061,16.9,7.1,55.905
Water (ns),5.825768188,18.3,7.1,68.50508
Water (ns),5.369641152,19.4,7.1,68.50508
Water (ns),6.671495215,11.9,7.1,68.533494
Water (ns),6.069555257,9.16,7.1,68.5684
Water (ns),6.121200258,9.78,7.1,68.5684
Water (ns),5.601978731,8.83,7.1,68.571037
Water (ns),5.642232126,12.51,7.1,68.571037
Water (ns),6.948473525,8.5,7.1,68.57366667
Water (ns),8.145168535,11,7.1,68.574
Water (ns),5.576421703,8.37,7.1,68.574673
Water (ns),5.232192499,10.41,7.1,68.574673
Water (ns),6.269167129,13.58,7.1,68.574673
Water (ns),6.496831692,13.89,7.1,68.574673
Water (ns),5.113267793,15.59,7.1,68.574673
Water (ns),5.603108752,7.4,7.1,68.578643
Water (ns),10.32172819,9.6,7.1,68.578643
Water (ns),10.39324014,9.7,7.1,68.578643
Water (ns),10.19102526,9.8,7.1,68.578643
Water (ns),5.874899475,11.1,7.1,68.578643
Water (ns),6.120111694,14.4,7.1,68.578643
Water (ns),5.677482696,8.77,7.1,68.578931
Water (ns),5.369955834,11.38,7.1,68.578931
Water (ns),6.170163196,13.55,7.1,68.578931
Water (ns),6.359763815,13.32,7.1,68.582062
Water (ns),6.472758766,17.5,7.1,68.58333333
Water (ns),6.591071969,15.7,7.1,68.58357
Water (ns),7.321356213,11,7.1,68.585839
Water (ns),9.646740882,12,7.1,68.585839
Water (ns),6.43754562,17.3,7.1,68.5896775
Water (ns),6.445921494,9.4,7.1,68.59491667
Water (ns),8.769093002,9.6,7.1,68.59491667
Water (ns),6.166848004,7.09,7.1,68.595875
Water (ns),6.033011117,10.19,7.1,68.595875
Water (ns),6.114952413,12.92,7.1,68.595875
Water (ns),10.61023093,4.4,7.1,68.59688333
Water (ns),10.56548877,8.3,7.1,68.59688333
Water (ns),10.87259902,9.2,7.1,68.59688333
Water (ns),9.509850753,10.1,7.1,68.59688333
Water (ns),3.819434263,11.4,7.1,68.59688333
Water (ns),10.47692944,11.6,7.1,68.59688333
Water (ns),6.246007426,8.65,7.1,68.600601
Water (ns),6.091017123,12.29,7.1,68.600601
Water (ns),6.349491624,11.2,7.1,68.60853333
Water (ns),8.894662529,9.5,7.1,68.61035
Water (ns),8.53806268,12.3,7.1,68.61035
Water (ns),9.782903064,13.4,7.1,68.61035
Water (ns),6.579893503,7.96,7.1,68.610781
Water (ns),6.004188556,11.6,7.1,68.611341
Water (ns),5.313044409,10.7,7.1,68.61818333
Water (ns),6.355108258,11.1,7.1,68.61818333
Water (ns),7.53849234,11.7,7.1,68.61818333
Water (ns),6.391292046,13.2,7.1,68.61818333
Water (ns),6.771136522,13.5,7.1,68.61818333
Water (ns),6.904402328,13.7,7.1,68.61818333
Water (ns),7.791549829,13.9,7.1,68.61818333
Water (ns),4.555286816,17.6,7.1,68.61818333
Water (ns),7.645595007,15.4,7.1,68.61838333
Water (ns),9.845745678,18.1,7.1,68.61838333
Water (ns),5.956779783,11.9,7.1,68.62016667
Water (ns),7.050361238,16.9,7.1,68.62538
Water (ns),6.599509391,1,7.1,68.6256
Water (ns),7.402169659,3.5,7.1,68.6256
Water (ns),7.070171059,8.1,7.1,68.6256
Water (ns),7.880036649,11.6,7.1,68.6256
Water (ns),7.110210025,12.2,7.1,68.6256
Water (ns),8.477743902,13.9,7.1,68.6256
Water (ns),6.753312469,1.83,7.1,68.629961
Water (ns),6.899469164,1.95,7.1,68.629961
Water (ns),6.566577385,2.6,7.1,68.629961
Water (ns),6.348377259,4.47,7.1,68.629961
Water (ns),6.574278544,4.68,7.1,68.629961
Water (ns),6.474638223,5,7.1,68.629961
Water (ns),5.568373797,5.01,7.1,68.629961
Water (ns),6.372765578,5.01,7.1,68.629961
Water (ns),6.616380401,5.01,7.1,68.629961
Water (ns),6.566548014,5.19,7.1,68.629961
Water (ns),6.871452949,5.47,7.1,68.629961
Water (ns),5.837106741,5.87,7.1,68.629961
Water (ns),6.18986482,7.11,7.1,68.629961
Water (ns),6.271809846,13.55,7.1,68.629961
Water (ns),5.322863141,18.1,7.1,68.79496
Water (ns),8.397786419,15.74,7.12,55.905
Water (ns),2.13327052,13.48,7.12,55.906
Water (ns),3.674067764,16.9,7.18,53.1
Water (ns),4.83772915,16.9,7.18,53.1
Water (ns),5.788691182,14.06,7.2,55.873
Water (ns),6.942376446,14.3,7.2,55.873
Water (ns),7.4115235,13.64,7.2,55.905
Water (ns),6.560182781,16.9,7.2,68.49592
Water (ns),6.781934501,15.4,7.2,68.50245
Water (ns),6.098870533,15.8,7.2,68.50508
Water (ns),5.97393267,12.5,7.2,68.53327
Water (ns),5.604430604,14.4,7.2,68.53405
Water (ns),5.537317802,13.79,7.2,68.55634
Water (ns),6.398528848,9.74,7.2,68.5684
Water (ns),5.135632543,12.94,7.2,68.5684
Water (ns),5.827914322,15.59,7.2,68.5684
Water (ns),5.952199311,9.02,7.2,68.571037
Water (ns),6.106497136,12.74,7.2,68.571037
Water (ns),9.008780278,3.2,7.2,68.57366667
Water (ns),9.256949849,4.1,7.2,68.57366667
Water (ns),8.742627924,7.2,7.2,68.57366667
Water (ns),5.822460874,8.53,7.2,68.574673
Water (ns),7.163613631,6.8,7.2,68.57478333
Water (ns),9.127868209,4.7,7.2,68.578643
Water (ns),10.91820651,9.5,7.2,68.578643
Water (ns),9.714333364,11.6,7.2,68.578643
Water (ns),8.565367121,15.4,7.2,68.578643
Water (ns),6.899835896,14.37,7.2,68.578931
Water (ns),5.959851562,15.44,7.2,68.578931
Water (ns),5.837347488,12.28,7.2,68.582062
Water (ns),7.457544428,9.6,7.2,68.58423333
Water (ns),6.196057402,8.82,7.2,68.587573
Water (ns),5.682331433,10.99,7.2,68.587573
Water (ns),6.851926486,17.1,7.2,68.5896775
Water (ns),5.923873657,11.1,7.2,68.59491667
Water (ns),7.341105117,14.3,7.2,68.59491667
Water (ns),5.971919617,11,7.2,68.595875
Water (ns),5.39006917,15.05,7.2,68.595875
Water (ns),10.29834923,6.7,7.2,68.59688333
Water (ns),6.141289282,10.2,7.2,68.59688333
Water (ns),10.33511653,10.9,7.2,68.6
Water (ns),5.90597358,8.43,7.2,68.600601
Water (ns),6.371295457,8.5,7.2,68.600601
Water (ns),5.430780306,14.99,7.2,68.600601
Water (ns),6.185383759,15.09,7.2,68.600601
Water (ns),9.749866507,10.2,7.2,68.60853333
Water (ns),7.98027655,13.3,7.2,68.60853333
Water (ns),5.769341703,8.27,7.2,68.609717
Water (ns),7.541295048,8,7.2,68.61035
Water (ns),5.90927101,11.3,7.2,68.61035
Water (ns),7.406018651,12.3,7.2,68.61035
Water (ns),8.42653872,12.7,7.2,68.61035
Water (ns),9.767142517,13.4,7.2,68.61035
Water (ns),8.942922182,14.4,7.2,68.61035
Water (ns),6.945518587,14.9,7.2,68.61035
Water (ns),7.516829864,15,7.2,68.61035
Water (ns),5.309810433,10.21,7.2,68.610781
Water (ns),7.893585865,11.11,7.2,68.610781
Water (ns),3.728086554,13.2,7.2,68.611341
Water (ns),6.279330861,13.4,7.2,68.611341
Water (ns),5.804491684,15.1,7.2,68.611341
Water (ns),7.446566816,8.5,7.2,68.61818333
Water (ns),8.046748437,11.4,7.2,68.61818333
Water (ns),8.331289585,11.5,7.2,68.61818333
Water (ns),7.239363349,11.8,7.2,68.61818333
Water (ns),8.480445806,12.2,7.2,68.61818333
Water (ns),9.309215189,13.8,7.2,68.61818333
Water (ns),7.463117795,15,7.2,68.61818333
Water (ns),6.892143441,15.8,7.2,68.61818333
Water (ns),3.040927558,13.6,7.2,68.62016667
Water (ns),4.773084477,12,7.2,68.62276
Water (ns),6.070978277,17.8,7.2,68.62538
Water (ns),9.154439833,0,7.2,68.6256
Water (ns),7.672209299,7.4,7.2,68.6256
Water (ns),6.923854255,10.4,7.2,68.6256
Water (ns),7.123922983,10.5,7.2,68.6256
Water (ns),4.309266151,11,7.2,68.6256
Water (ns),6.394711138,11.1,7.2,68.6256
Water (ns),6.571206405,11.6,7.2,68.6256
Water (ns),7.611744118,12.8,7.2,68.6256
Water (ns),7.795524394,12.8,7.2,68.6256
Water (ns),7.281394741,13.3,7.2,68.6256
Water (ns),5.891095741,13.7,7.2,68.6256
Water (ns),7.237053623,16.1,7.2,68.6256
Water (ns),6.216215874,1.67,7.2,68.629961
Water (ns),6.444570295,2.05,7.2,68.629961
Water (ns),7.019495278,4.15,7.2,68.629961
Water (ns),6.165040777,4.25,7.2,68.629961
Water (ns),6.434072817,4.54,7.2,68.629961
Water (ns),6.328964219,4.61,7.2,68.629961
Water (ns),6.856556258,4.61,7.2,68.629961
Water (ns),6.542551016,7.59,7.2,68.629961
Water (ns),6.105174592,7.86,7.2,68.629961
Water (ns),8.652597398,11.7,7.2,68.673757
Water (ns),7.58372082,11.9,7.2,68.673757
Water (ns),5.537737365,17.2,7.2,68.79372
Water (ns),5.010318985,17.2,7.2,68.79496
Water (ns),6.330443633,15.5,7.2,68.86755
Water (ns),9.984409557,14.7,7.2,68.87315
Sediment (s),7.470665749,11.1,7.21,50.338
Sediment (s),7.71920827,11.1,7.21,50.338
Sediment (s),6.832129361,11.1,7.21,50.338
Sediment (s),7.173630714,11.1,7.21,50.338
Sediment (s),6.969435845,11.1,7.21,50.338
Sediment (s),7.441245877,11.1,7.21,50.338
Sediment (s),6.456950776,11.1,7.21,50.338
Water (ns),9.22234664,14.3,7.22,55.873
Water (ns),4.637677603,12.7,7.22,55.905
Water (ns),5.736585803,12.94,7.22,55.905
Water (ns),8.525361616,14.72,7.22,55.905
Water (ns),9.022157772,15.14,7.22,55.905
Water (ns),6.264501199,17.68,7.24,55.873
Water (ns),2.913485411,14.84,7.28,55.873
Water (ns),3.458397767,14.08,7.3,55.873
Water (ns),4.035398194,14.02,7.3,55.905
Water (ns),8.171800072,14.3,7.3,55.906
Water (ns),6.154911045,16.1,7.3,68.49592
Water (ns),5.636919206,19,7.3,68.49592
Water (ns),6.601819438,15.4,7.3,68.53327
Water (ns),5.957609187,15.1,7.3,68.53405
Water (ns),5.976621653,14.5,7.3,68.53698
Water (ns),6.124145607,12.98,7.3,68.5684
Water (ns),5.204345332,11.17,7.3,68.571037
Water (ns),6.325392325,13.65,7.3,68.571037
Water (ns),6.57190445,13.73,7.3,68.571037
Water (ns),5.612201444,14.04,7.3,68.571037
Water (ns),6.286016158,14.38,7.3,68.571037
Water (ns),8.278469547,6.5,7.3,68.57366667
Water (ns),9.297651403,8.3,7.3,68.57366667
Water (ns),9.864484073,9.1,7.3,68.57366667
Water (ns),10.00851756,9.5,7.3,68.57366667
Water (ns),5.929901872,8.2,7.3,68.574
Water (ns),6.491356009,12.2,7.3,68.574
Water (ns),5.286801,14.42,7.3,68.574673
Water (ns),5.842508941,10.2,7.3,68.578643
Water (ns),6.685426087,18.08,7.3,68.578931
Water (ns),5.42427074,6.01,7.3,68.582062
Water (ns),5.946190008,8.65,7.3,68.582062
Water (ns),5.473875335,8.81,7.3,68.582062
Water (ns),6.012234597,9.06,7.3,68.582062
Water (ns),6.414815538,14.5,7.3,68.58333333
Water (ns),7.62900896,13.6,7.3,68.585
Water (ns),5.740056094,18.8,7.3,68.585
Water (ns),8.802346921,9.8,7.3,68.585839
Water (ns),6.337820417,6.07,7.3,68.587573
Water (ns),5.647380252,13.77,7.3,68.587573
Water (ns),6.397236963,14.3,7.3,68.587573
Water (ns),5.798701348,17.72,7.3,68.587573
Water (ns),5.961748025,16.3,7.3,68.5896775
Water (ns),8.619930348,7.6,7.3,68.59133
Water (ns),6.446244015,9.11,7.3,68.595875
Water (ns),5.81836645,13.35,7.3,68.595875
Water (ns),10.28245066,6.6,7.3,68.59688333
Water (ns),6.318391636,7,7.3,68.59688333
Water (ns),10.12595175,7.7,7.3,68.59688333
Water (ns),10.48190173,10.9,7.3,68.59688333
Water (ns),6.566689599,8.81,7.3,68.600601
Water (ns),5.802930201,13.14,7.3,68.600601
Water (ns),6.198129651,15.56,7.3,68.600601
Water (ns),9.743900093,6.7,7.3,68.60853333
Water (ns),9.326516074,7.2,7.3,68.60853333
Water (ns),5.044123824,9,7.3,68.60853333
Water (ns),6.134157741,10.5,7.3,68.60853333
Water (ns),8.504315059,10.6,7.3,68.60853333
Water (ns),6.307168092,11,7.3,68.60853333
Water (ns),8.725672427,11,7.3,68.60853333
Water (ns),3.722561646,17.1,7.3,68.60853333
Water (ns),2.44878161,18.4,7.3,68.60853333
Water (ns),2.39995301,18.4,7.3,68.60853333
Water (ns),2.034326169,18.4,7.3,68.60853333
Water (ns),8.491169167,14.2,7.3,68.609308
Water (ns),5.604113948,10.9,7.3,68.609717
Water (ns),5.570786873,11.18,7.3,68.609717
Water (ns),6.059488049,12.93,7.3,68.609717
Water (ns),5.718277208,14.19,7.3,68.609717
Water (ns),6.08417237,12.2,7.3,68.61035
Water (ns),7.467420294,12.9,7.3,68.61035
Water (ns),5.736390919,8.48,7.3,68.610781
Water (ns),6.427489981,13.08,7.3,68.610781
Water (ns),6.665552429,13.19,7.3,68.610781
Water (ns),6.358718601,13.7,7.3,68.611341
Water (ns),5.194851897,15.6,7.3,68.611341
Water (ns),5.751288178,18.4,7.3,68.611341
Water (ns),5.688636583,18.4,7.3,68.611341
Water (ns),6.718464764,18.4,7.3,68.611341
Water (ns),5.759196832,18.4,7.3,68.611341
Water (ns),6.12677692,7.3,7.3,68.61818333
Water (ns),6.170678948,11.7,7.3,68.61818333
Water (ns),6.996161045,12.2,7.3,68.61818333
Water (ns),7.501476053,12.5,7.3,68.61818333
Water (ns),9.218817618,15.1,7.3,68.61818333
Water (ns),7.023455136,15.6,7.3,68.61818333
Water (ns),5.652077823,11.3,7.3,68.61838333
Water (ns),6.601580366,13.7,7.3,68.61838333
Water (ns),7.149815596,13.8,7.3,68.61838333
Water (ns),6.869147765,14.5,7.3,68.61838333
Water (ns),10.3036793,7.9,7.3,68.622
Water (ns),4.222086071,9.8,7.3,68.62276
Water (ns),6.002534595,12.2,7.3,68.62538
Water (ns),8.239679045,0.2,7.3,68.6256
Water (ns),8.468945602,0.7,7.3,68.6256
Water (ns),7.275657739,7.2,7.3,68.6256
Water (ns),7.418334597,10.2,7.3,68.6256
Water (ns),5.976997089,10.8,7.3,68.6256
Water (ns),5.133731734,10.9,7.3,68.6256
Water (ns),7.048301195,11,7.3,68.6256
Water (ns),6.43293864,11,7.3,68.6256
Water (ns),7.455320661,11.2,7.3,68.6256
Water (ns),7.797153517,12.2,7.3,68.6256
Water (ns),6.522155134,12.6,7.3,68.6256
Water (ns),6.575543734,13.1,7.3,68.6256
Water (ns),6.758643185,14,7.3,68.6256
Water (ns),7.356479165,14.4,7.3,68.6256
Water (ns),5.513358608,18.1,7.3,68.6256
Water (ns),6.443985491,1.18,7.3,68.629961
Water (ns),7.81152007,1.86,7.3,68.629961
Water (ns),6.315522333,2.37,7.3,68.629961
Water (ns),6.686708933,5.9,7.3,68.629961
Water (ns),6.102096135,6.1,7.3,68.629961
Water (ns),8.312242693,13.3,7.3,68.673757
Water (ns),7.260078788,19.3,7.3,68.79622
Water (ns),5.52143128,14.9,7.3,68.82153
Water (ns),5.773478281,19.3,7.3,68.86755
Water (ns),10.53946536,16,7.3,68.98633
Water (ns),5.446014053,16.2,7.3,69.03333333
Water (ns),5.863174769,14.12,7.31,55.873
Water (ns),6.38237041,14.94,7.32,55.905
Sediment (s),7.281216038,11,7.33,50.338
Sediment (s),7.666943529,11,7.33,50.338
Sediment (s),6.400692572,11,7.33,50.338
Sediment (s),7.69119592,11,7.33,50.338
Sediment (s),7.35522219,11,7.33,50.338
Sediment (s),7.438031913,11,7.33,50.338
Sediment (s),8.104680618,11,7.33,50.338
Water (ns),5.443955795,0.5,7.33,53.1
Water (ns),5.26751288,0.5,7.33,53.1
Water (ns),4.458584331,0.5,7.33,53.1
Water (ns),5.300174402,0.5,7.33,53.1
Water (ns),5.868868983,4.9,7.33,53.167
Water (ns),5.235225303,4.9,7.33,53.167
Water (ns),1.863800616,14.14,7.38,55.873
Water (ns),7.482472359,14.2,7.38,55.873
Water (ns),9.275446189,14,7.38,55.906
Water (ns),4.949945756,15.6,7.4,55.905
Water (ns),5.558606765,14.2,7.4,68.49113
Water (ns),5.927757858,14.8,7.4,68.49113
Water (ns),6.32967359,14.4,7.4,68.49592
Water (ns),5.274967971,16.8,7.4,68.53405
Water (ns),7.355481087,17,7.4,68.53405
Water (ns),6.788133333,15.8,7.4,68.53698
Water (ns),5.091482502,9.63,7.4,68.5684
Water (ns),5.488885545,11.43,7.4,68.5684
Water (ns),6.150835239,12.04,7.4,68.5684
