Location,Shannon,Temperature,pH,Latitude
Water (ns),5.368595544,22.3,5.02,53.1
Water (ns),4.597533199,22.3,5.02,53.1
Water (ns),6.822718906,17.9,5.15,53.1
Water (ns),4.225951644,17.9,5.15,53.1
Water (ns),5.968467256,12.1,5.2,68.6256
Water (ns),5.050171856,0.4,5.36,53.1
Water (ns),5.586711885,0.4,5.36,53.1
Water (ns),4.996466308,0.4,5.36,53.1
Water (ns),5.72690266,20.1,5.37,53.1
Water (ns),3.71781742,20.1,5.37,53.1
Water (ns),1.703556948,9.6,5.5,68.69301831
Water (ns),6.648746622,15.6,5.54,53.1
Water (ns),4.900802463,15.6,5.54,53.1
Water (ns),5.705165584,7.5,5.58,53.1
Water (ns),6.90517167,7.5,5.58,53.1
Water (ns),3.297561237,10.9,5.59,53.1
Water (ns),4.372033161,10.9,5.59,53.1
Water (ns),4.827907054,13.1,5.65,53.1
Water (ns),4.384307582,13.1,5.65,53.1
Water (ns),2.931408939,6,5.7,53.1
Water (ns),5.420201778,7.8,5.7,68.60853333
Water (ns),3.669306408,2.7,5.73,53.1
Water (ns),4.251177622,2.7,5.73,53.1
Soil (ns),6.210632903,5,5.74,71.296
Soil (ns),6.803284684,5,5.74,71.296
Soil (ns),6.952942868,5,5.74,71.296
Soil (ns),7.193766012,5,5.74,71.296
Water (ns),5.346491203,6.1,5.8,53.1
Water (ns),5.915833711,6.1,5.8,53.1
Water (ns),2.534503555,9.6,5.83,53.1
Water (ns),5.62119192,9.6,5.83,53.1
Water (ns),5.779187197,11.2,5.85,53.1
Water (ns),6.027760823,11.2,5.85,53.1
Water (ns),5.652182863,11.1,5.86,53.1
Water (ns),5.262046365,11.1,5.86,53.1
Water (ns),2.937463923,12.6,5.86,55.905
Water (ns),6.27896209,4.2,5.89,53.1
Water (ns),6.147201031,4.2,5.89,53.1
Water (ns),3.736977512,6,5.9,53.1
Water (ns),4.269912283,6,5.9,53.1
Water (ns),0.618873829,8,5.9,53.1
Water (ns),5.238441643,4.1,5.92,53.1
Water (ns),3.83323924,4.1,5.92,53.1
Water (ns),5.64315733,2.9,5.95,53.1
Water (ns),6.13899415,2.9,5.95,53.1
Water (ns),3.894625249,7.6,5.95,53.1
Water (ns),5.085220966,14.4,5.95,53.1
Water (ns),5.089873938,14.4,5.95,53.1
Water (ns),3.909127136,3.7,5.96,53.1
Water (ns),3.73989063,3.7,5.96,53.1
Water (ns),4.790144713,14.4,5.96,53.1
Water (ns),4.516400502,14.4,5.96,53.1
Water (ns),9.233259555,6.1,5.99,53.1
Water (ns),5.749911281,6.1,5.99,53.1
Water (ns),3.378938754,20.5,5.99,53.1
Water (ns),6.348305957,20.5,5.99,53.1
Water (ns),5.349547794,22.1,5.99,53.1
Water (ns),7.050642694,22.1,5.99,53.1
Water (ns),5.480316284,4.2,6,53.1
Water (ns),5.402227083,4.2,6,53.1
Water (ns),6.289218041,7.8,6,53.1
Water (ns),3.612969424,7.8,6,53.1
Water (ns),6.267204845,2.39,6,68.571037
Water (ns),10.42976057,4.5,6,68.578643
Water (ns),9.727368786,4.7,6,68.60853333
Water (ns),7.318004633,10.8,6,68.61035
Water (ns),6.153879011,5.65,6,68.629961
Water (ns),6.161316335,5.4,6.03,53.1
Water (ns),6.327556005,5.4,6.03,53.1
Water (ns),4.461294155,10.4,6.03,53.1
Water (ns),5.563319807,10.4,6.03,53.1
Water (ns),5.603381507,14.4,6.04,53.1
Water (ns),5.16410827,14.4,6.04,53.1
Water (ns),3.909252631,5.3,6.05,53.1
Water (ns),4.588373026,5.3,6.05,53.1
Water (ns),5.475792751,11.2,6.05,53.1
Water (ns),4.528334795,11.2,6.05,53.1
Water (ns),6.861254659,21.6,6.05,53.1
Water (ns),5.361920257,21.6,6.05,53.1
