Location,OO,Temperature,pH,Latitude
Water (ns),1174,14.02,6.98,55.905
Water (ns),130,24,6.99,53.1
Water (ns),150,24,6.99,53.1
Water (ns),130,19.2,7,53.1
Water (ns),218,19.2,7,53.1
Water (ns),365,17.38,7,55.873
Soil (ns),400,17.4,7,55.873
Water (ns),1293,13.4,7,55.905
Water (ns),1166,14.88,7,55.905
Water (ns),593,14.44,7,55.906
Water (ns),1299,16.9,7,55.906
Water (ns),276,16.1,7,68.50245
Water (ns),391,17.9,7,68.50245
Water (ns),729,15.8,7,68.51007
Water (ns),465,13.3,7,68.556769
Water (ns),171,12.1,7,68.5684
Water (ns),238,12.39,7,68.5684
Water (ns),210,13.77,7,68.5684
Water (ns),262,14.92,7,68.571037
Water (ns),1952,2.9,7,68.57366667
Water (ns),629,8,7,68.574
Water (ns),335,13.3,7,68.574
Water (ns),365,8.62,7,68.574673
Water (ns),253,9.48,7,68.574673
Water (ns),388,11.35,7,68.574673
Water (ns),1761,13.5,7,68.578643
Water (ns),402,8.99,7,68.578931
Water (ns),373,9.01,7,68.578931
Water (ns),260,10.43,7,68.578931
Water (ns),332,15.78,7,68.578931
Water (ns),249,2.06,7,68.582062
Water (ns),500,3.1,7,68.582062
Water (ns),600,9.8,7,68.58423333
Water (ns),1249,12.3,7,68.58423333
Water (ns),318,17.3,7,68.585
Water (ns),1807,9.4,7,68.585839
Water (ns),1429,14,7,68.585839
Water (ns),354,9.56,7,68.587573
Water (ns),314,12.39,7,68.587573
Water (ns),292,13.07,7,68.587573
Water (ns),229,13.6,7,68.587573
Water (ns),232,15.74,7,68.587573
Water (ns),528,15.6,7,68.59491667
Water (ns),1325,16.2,7,68.59491667
Water (ns),446,8.36,7,68.595875
Water (ns),383,8.79,7,68.595875
Water (ns),243,13.56,7,68.595875
Water (ns),30,7.8,7,68.59688333
Water (ns),2387,7.8,7,68.59688333
Water (ns),2476,9.9,7,68.59688333
Water (ns),67,8.8,7,68.6
Water (ns),170,15.26,7,68.600601
Water (ns),1431,13.8,7,68.60853333
Water (ns),59,17,7,68.60853333
Water (ns),247,10.02,7,68.609717
Water (ns),282,13.86,7,68.609717
Water (ns),697,10.23,7,68.610781
Water (ns),474,11.01,7,68.610781
Water (ns),629,11.25,7,68.610781
Water (ns),358,12.79,7,68.610781
Water (ns),390,14,7,68.610781
Water (ns),325,14.67,7,68.610781
Water (ns),199,16.23,7,68.610781
Water (ns),333,15.7,7,68.611341
Water (ns),556,8.1,7,68.61818333
Water (ns),1522,12.5,7,68.61818333
Water (ns),879,12.8,7,68.61818333
Water (ns),971,13.3,7,68.61818333
Water (ns),93,13.3,7,68.61818333
Water (ns),542,13.5,7,68.61818333
Water (ns),1250,13.9,7,68.61818333
Water (ns),1473,14.1,7,68.61818333
Water (ns),1479,17.9,7,68.61818333
Water (ns),514,7.9,7,68.61838333
Water (ns),125,10.5,7,68.61838333
Water (ns),469,12.2,7,68.61838333
Water (ns),855,16.5,7,68.62538
Water (ns),231,17.5,7,68.62538
Water (ns),271,17.5,7,68.62538
Water (ns),826,9.4,7,68.6256
Water (ns),28,14,7,68.6256
Water (ns),336,1.11,7,68.629961
Water (ns),379,2.08,7,68.629961
Water (ns),579,2.59,7,68.629961
Water (ns),343,4.1,7,68.629961
Water (ns),305,4.32,7,68.629961
Water (ns),312,4.46,7,68.629961
Water (ns),169,4.57,7,68.629961
Water (ns),301,4.68,7,68.629961
Water (ns),269,4.75,7,68.629961
Water (ns),334,4.81,7,68.629961
Water (ns),356,4.93,7,68.629961
Water (ns),299,5.1,7,68.629961
Water (ns),340,5.1,7,68.629961
Water (ns),387,5.19,7,68.629961
Water (ns),312,5.19,7,68.629961
Water (ns),306,5.25,7,68.629961
Water (ns),173,5.48,7,68.629961
Water (ns),362,5.52,7,68.629961
Water (ns),330,5.73,7,68.629961
Water (ns),375,5.8,7,68.629961
Water (ns),269,5.85,7,68.629961
Water (ns),407,5.99,7,68.629961
Water (ns),24,6.03,7,68.629961
Water (ns),1042,6.16,7,68.629961
Water (ns),239,6.46,7,68.629961
Water (ns),290,6.5,7,68.629961
Water (ns),349,13.15,7,68.629961
Water (ns),329,20.6,7,68.81046
Water (ns),375,19.3,7,68.82153
Water (ns),516,19,7,68.98633
Water (ns),260,24.1,7.03,53.1
Water (ns),192,24.1,7.03,53.1
Water (ns),348,12.16,7.04,55.906
Water (ns),1414,13.36,7.08,55.905
Water (ns),1135,14.1,7.08,55.905
Water (ns),259,13.98,7.1,55.873
Water (ns),318,17.3,7.1,55.873
Water (ns),415,17.52,7.1,55.873
Water (ns),475,18.06,7.1,55.873
Water (ns),166,13.48,7.1,55.905
Water (ns),1132,13.48,7.1,55.905
Water (ns),794,16.2,7.1,55.905
Water (ns),335,16.3,7.1,55.905
Water (ns),1274,16.66,7.1,55.905
Water (ns),250,16.8,7.1,55.905
Water (ns),804,16.9,7.1,55.905
Water (ns),213,18.3,7.1,68.50508
Water (ns),240,19.4,7.1,68.50508
Water (ns),320,11.9,7.1,68.533494
Water (ns),207,9.16,7.1,68.5684
Water (ns),251,9.78,7.1,68.5684
Water (ns),241,8.83,7.1,68.571037
Water (ns),235,12.51,7.1,68.571037
Water (ns),582,8.5,7.1,68.57366667
Water (ns),981,11,7.1,68.574
Water (ns),317,8.37,7.1,68.574673
Water (ns),224,10.41,7.1,68.574673
Water (ns),332,13.58,7.1,68.574673
Water (ns),489,13.89,7.1,68.574673
Water (ns),93,15.59,7.1,68.574673
Water (ns),415,7.4,7.1,68.578643
Water (ns),2187,9.6,7.1,68.578643
Water (ns),2363,9.7,7.1,68.578643
Water (ns),2189,9.8,7.1,68.578643
Water (ns),274,11.1,7.1,68.578643
Water (ns),121,14.4,7.1,68.578643
Water (ns),249,8.77,7.1,68.578931
Water (ns),230,11.38,7.1,68.578931
Water (ns),338,13.55,7.1,68.578931
Water (ns),318,13.32,7.1,68.582062
Water (ns),191,17.5,7.1,68.58333333
Water (ns),367,15.7,7.1,68.58357
Water (ns),804,11,7.1,68.585839
Water (ns),1577,12,7.1,68.585839
Water (ns),162,17.3,7.1,68.5896775
Water (ns),590,9.4,7.1,68.59491667
Water (ns),1327,9.6,7.1,68.59491667
Water (ns),299,7.09,7.1,68.595875
Water (ns),234,10.19,7.1,68.595875
Water (ns),283,12.92,7.1,68.595875
Water (ns),2598,4.4,7.1,68.59688333
Water (ns),2419,8.3,7.1,68.59688333
Water (ns),2699,9.2,7.1,68.59688333
Water (ns),2205,10.1,7.1,68.59688333
Water (ns),41,11.4,7.1,68.59688333
Water (ns),2393,11.6,7.1,68.59688333
Water (ns),306,8.65,7.1,68.600601
Water (ns),264,12.29,7.1,68.600601
Water (ns),177,11.2,7.1,68.60853333
Water (ns),1660,9.5,7.1,68.61035
Water (ns),896,12.3,7.1,68.61035
Water (ns),2131,13.4,7.1,68.61035
Water (ns),513,7.96,7.1,68.610781
Water (ns),485,11.6,7.1,68.611341
Water (ns),476,10.7,7.1,68.61818333
Water (ns),521,11.1,7.1,68.61818333
Water (ns),1053,11.7,7.1,68.61818333
Water (ns),180,13.2,7.1,68.61818333
Water (ns),828,13.5,7.1,68.61818333
Water (ns),773,13.7,7.1,68.61818333
Water (ns),1313,13.9,7.1,68.61818333
Water (ns),54,17.6,7.1,68.61818333
Water (ns),1324,15.4,7.1,68.61838333
Water (ns),1855,18.1,7.1,68.61838333
Water (ns),423,11.9,7.1,68.62016667
Water (ns),589,16.9,7.1,68.62538
Water (ns),191,1,7.1,68.6256
Water (ns),1114,3.5,7.1,68.6256
Water (ns),713,8.1,7.1,68.6256
Water (ns),1270,11.6,7.1,68.6256
Water (ns),746,12.2,7.1,68.6256
Water (ns),1608,13.9,7.1,68.6256
Water (ns),358,1.83,7.1,68.629961
Water (ns),552,1.95,7.1,68.629961
Water (ns),567,2.6,7.1,68.629961
Water (ns),316,4.47,7.1,68.629961
Water (ns),338,4.68,7.1,68.629961
Water (ns),346,5,7.1,68.629961
Water (ns),233,5.01,7.1,68.629961
Water (ns),311,5.01,7.1,68.629961
Water (ns),366,5.01,7.1,68.629961
Water (ns),313,5.19,7.1,68.629961
Water (ns),479,5.47,7.1,68.629961
Water (ns),244,5.87,7.1,68.629961
Water (ns),287,7.11,7.1,68.629961
Water (ns),314,13.55,7.1,68.629961
Water (ns),239,18.1,7.1,68.79496
Water (ns),1125,15.74,7.12,55.905
Water (ns),67,13.48,7.12,55.906
Water (ns),136,16.9,7.18,53.1
Water (ns),213,16.9,7.18,53.1
Water (ns),328,14.06,7.2,55.873
Water (ns),541,14.3,7.2,55.873
Water (ns),862,13.64,7.2,55.905
Water (ns),453,16.9,7.2,68.49592
Water (ns),370,15.4,7.2,68.50245
Water (ns),303,15.8,7.2,68.50508
Water (ns),287,12.5,7.2,68.53327
Water (ns),277,14.4,7.2,68.53405
Water (ns),215,13.79,7.2,68.55634
Water (ns),288,9.74,7.2,68.5684
Water (ns),166,12.94,7.2,68.5684
Water (ns),258,15.59,7.2,68.5684
Water (ns),246,9.02,7.2,68.571037
Water (ns),274,12.74,7.2,68.571037
Water (ns),1821,3.2,7.2,68.57366667
Water (ns),1591,4.1,7.2,68.57366667
Water (ns),1687,7.2,7.2,68.57366667
Water (ns),321,8.53,7.2,68.574673
Water (ns),998,6.8,7.2,68.57478333
Water (ns),1716,4.7,7.2,68.578643
Water (ns),2781,9.5,7.2,68.578643
Water (ns),1935,11.6,7.2,68.578643
Water (ns),1434,15.4,7.2,68.578643
Water (ns),319,14.37,7.2,68.578931
Water (ns),286,15.44,7.2,68.578931
Water (ns),226,12.28,7.2,68.582062
Water (ns),737,9.6,7.2,68.58423333
Water (ns),320,8.82,7.2,68.587573
Water (ns),248,10.99,7.2,68.587573
Water (ns),750,17.1,7.2,68.5896775
Water (ns),381,11.1,7.2,68.59491667
Water (ns),411,14.3,7.2,68.59491667
Water (ns),286,11,7.2,68.595875
Water (ns),193,15.05,7.2,68.595875
Water (ns),2293,6.7,7.2,68.59688333
Water (ns),260,10.2,7.2,68.59688333
Water (ns),2329,10.9,7.2,68.6
Water (ns),381,8.43,7.2,68.600601
Water (ns),338,8.5,7.2,68.600601
Water (ns),199,14.99,7.2,68.600601
Water (ns),243,15.09,7.2,68.600601
Water (ns),2105,10.2,7.2,68.60853333
Water (ns),1572,13.3,7.2,68.60853333
Water (ns),582,8.27,7.2,68.609717
Water (ns),852,8,7.2,68.61035
Water (ns),629,11.3,7.2,68.61035
Water (ns),839,12.3,7.2,68.61035
Water (ns),1261,12.7,7.2,68.61035
Water (ns),1904,13.4,7.2,68.61035
Water (ns),1709,14.4,7.2,68.61035
Water (ns),448,14.9,7.2,68.61035
Water (ns),1174,15,7.2,68.61035
Water (ns),82,10.21,7.2,68.610781
Water (ns),1164,11.11,7.2,68.610781
Water (ns),37,13.2,7.2,68.611341
Water (ns),322,13.4,7.2,68.611341
Water (ns),192,15.1,7.2,68.611341
Water (ns),838,8.5,7.2,68.61818333
Water (ns),1012,11.4,7.2,68.61818333
Water (ns),1377,11.5,7.2,68.61818333
Water (ns),857,11.8,7.2,68.61818333
Water (ns),1395,12.2,7.2,68.61818333
Water (ns),1732,13.8,7.2,68.61818333
Water (ns),951,15,7.2,68.61818333
Water (ns),911,15.8,7.2,68.61818333
Water (ns),41,13.6,7.2,68.62016667
Water (ns),231,12,7.2,68.62276
Water (ns),242,17.8,7.2,68.62538
Water (ns),1349,0,7.2,68.6256
Water (ns),1202,7.4,7.2,68.6256
Water (ns),920,10.4,7.2,68.6256
Water (ns),888,10.5,7.2,68.6256
Water (ns),53,11,7.2,68.6256
Water (ns),749,11.1,7.2,68.6256
Water (ns),263,11.6,7.2,68.6256
Water (ns),987,12.8,7.2,68.6256
Water (ns),1084,12.8,7.2,68.6256
Water (ns),774,13.3,7.2,68.6256
Water (ns),571,13.7,7.2,68.6256
Water (ns),1167,16.1,7.2,68.6256
Water (ns),287,1.67,7.2,68.629961
Water (ns),299,2.05,7.2,68.629961
Water (ns),438,4.15,7.2,68.629961
Water (ns),304,4.25,7.2,68.629961
Water (ns),329,4.54,7.2,68.629961
Water (ns),331,4.61,7.2,68.629961
Water (ns),374,4.61,7.2,68.629961
Water (ns),348,7.59,7.2,68.629961
Water (ns),281,7.86,7.2,68.629961
Water (ns),1373,11.7,7.2,68.673757
Water (ns),1024,11.9,7.2,68.673757
Water (ns),262,17.2,7.2,68.79372
Water (ns),321,17.2,7.2,68.79496
Water (ns),376,15.5,7.2,68.86755
Water (ns),2212,14.7,7.2,68.87315
Sediment (s),688,11.1,7.21,50.338
Sediment (s),991,11.1,7.21,50.338
Sediment (s),508,11.1,7.21,50.338
Sediment (s),765,11.1,7.21,50.338
Sediment (s),641,11.1,7.21,50.338
Sediment (s),940,11.1,7.21,50.338
Sediment (s),599,11.1,7.21,50.338
Water (ns),1390,14.3,7.22,55.873
Water (ns),544,12.7,7.22,55.905
Water (ns),279,12.94,7.22,55.905
Water (ns),1032,14.72,7.22,55.905
Water (ns),1333,15.14,7.22,55.905
Water (ns),288,17.68,7.24,55.873
Water (ns),170,14.84,7.28,55.873
Water (ns),217,14.08,7.3,55.873
Water (ns),293,14.02,7.3,55.905
Water (ns),1082,14.3,7.3,55.906
Water (ns),411,16.1,7.3,68.49592
Water (ns),94,19,7.3,68.49592
Water (ns),403,15.4,7.3,68.53327
Water (ns),267,15.1,7.3,68.53405
Water (ns),252,14.5,7.3,68.53698
Water (ns),287,12.98,7.3,68.5684
Water (ns),186,11.17,7.3,68.571037
Water (ns),185,13.65,7.3,68.571037
Water (ns),331,13.73,7.3,68.571037
Water (ns),204,14.04,7.3,68.571037
Water (ns),255,14.38,7.3,68.571037
Water (ns),1611,6.5,7.3,68.57366667
Water (ns),1901,8.3,7.3,68.57366667
Water (ns),2115,9.1,7.3,68.57366667
Water (ns),2102,9.5,7.3,68.57366667
Water (ns),521,8.2,7.3,68.574
Water (ns),676,12.2,7.3,68.574
Water (ns),204,14.42,7.3,68.574673
Water (ns),761,10.2,7.3,68.578643
Water (ns),351,18.08,7.3,68.578931
Water (ns),235,6.01,7.3,68.582062
Water (ns),230,8.65,7.3,68.582062
Water (ns),248,8.81,7.3,68.582062
Water (ns),291,9.06,7.3,68.582062
Water (ns),331,14.5,7.3,68.58333333
Water (ns),664,13.6,7.3,68.585
Water (ns),319,18.8,7.3,68.585
Water (ns),1582,9.8,7.3,68.585839
Water (ns),347,6.07,7.3,68.587573
Water (ns),221,13.77,7.3,68.587573
Water (ns),328,14.3,7.3,68.587573
Water (ns),230,17.72,7.3,68.587573
Water (ns),304,16.3,7.3,68.5896775
Water (ns),1425,7.6,7.3,68.59133
Water (ns),315,9.11,7.3,68.595875
Water (ns),243,13.35,7.3,68.595875
Water (ns),2419,6.6,7.3,68.59688333
Water (ns),1124,7,7.3,68.59688333
Water (ns),1885,7.7,7.3,68.59688333
Water (ns),2390,10.9,7.3,68.59688333
Water (ns),309,8.81,7.3,68.600601
Water (ns),232,13.14,7.3,68.600601
Water (ns),269,15.56,7.3,68.600601
Water (ns),2037,6.7,7.3,68.60853333
Water (ns),1060,7.2,7.3,68.60853333
Water (ns),62,9,7.3,68.60853333
Water (ns),251,10.5,7.3,68.60853333
Water (ns),1308,10.6,7.3,68.60853333
Water (ns),1426,11,7.3,68.60853333
Water (ns),880,11,7.3,68.60853333
Water (ns),54,17.1,7.3,68.60853333
Water (ns),80,18.4,7.3,68.60853333
Water (ns),191,18.4,7.3,68.60853333
Water (ns),134,18.4,7.3,68.60853333
Water (ns),634,14.2,7.3,68.609308
Water (ns),293,10.9,7.3,68.609717
Water (ns),356,11.18,7.3,68.609717
Water (ns),242,12.93,7.3,68.609717
Water (ns),220,14.19,7.3,68.609717
Water (ns),253,12.2,7.3,68.61035
Water (ns),848,12.9,7.3,68.61035
Water (ns),405,8.48,7.3,68.610781
Water (ns),267,13.08,7.3,68.610781
Water (ns),468,13.19,7.3,68.610781
Water (ns),539,13.7,7.3,68.611341
Water (ns),184,15.6,7.3,68.611341
Water (ns),220,18.4,7.3,68.611341
Water (ns),201,18.4,7.3,68.611341
Water (ns),410,18.4,7.3,68.611341
Water (ns),200,18.4,7.3,68.611341
Water (ns),531,7.3,7.3,68.61818333
Water (ns),643,11.7,7.3,68.61818333
Water (ns),865,12.2,7.3,68.61818333
Water (ns),1029,12.5,7.3,68.61818333
Water (ns),1685,15.1,7.3,68.61818333
Water (ns),1056,15.6,7.3,68.61818333
Water (ns),396,11.3,7.3,68.61838333
Water (ns),577,13.7,7.3,68.61838333
Water (ns),923,13.8,7.3,68.61838333
Water (ns),664,14.5,7.3,68.61838333
Water (ns),2164,7.9,7.3,68.622
Water (ns),212,9.8,7.3,68.62276
Water (ns),236,12.2,7.3,68.62538
Water (ns),1022,0.2,7.3,68.6256
Water (ns),573,0.7,7.3,68.6256
Water (ns),1187,7.2,7.3,68.6256
Water (ns),948,10.2,7.3,68.6256
Water (ns),690,10.8,7.3,68.6256
Water (ns),755,10.9,7.3,68.6256
Water (ns),736,11,7.3,68.6256
Water (ns),538,11,7.3,68.6256
Water (ns),936,11.2,7.3,68.6256
Water (ns),574,12.2,7.3,68.6256
Water (ns),614,12.6,7.3,68.6256
Water (ns),754,13.1,7.3,68.6256
Water (ns),946,14,7.3,68.6256
Water (ns),820,14.4,7.3,68.6256
Water (ns),721,18.1,7.3,68.6256
Water (ns),271,1.18,7.3,68.629961
Water (ns),857,1.86,7.3,68.629961
Water (ns),310,2.37,7.3,68.629961
Water (ns),331,5.9,7.3,68.629961
Water (ns),256,6.1,7.3,68.629961
Water (ns),1286,13.3,7.3,68.673757
Water (ns),420,19.3,7.3,68.79622
Water (ns),297,14.9,7.3,68.82153
Water (ns),299,19.3,7.3,68.86755
Water (ns),2485,16,7.3,68.98633
Water (ns),181,16.2,7.3,69.03333333
Water (ns),473,14.12,7.31,55.873
Water (ns),414,14.94,7.32,55.905
Sediment (s),900,11,7.33,50.338
Sediment (s),1006,11,7.33,50.338
Sediment (s),620,11,7.33,50.338
Sediment (s),952,11,7.33,50.338
Sediment (s),945,11,7.33,50.338
Sediment (s),879,11,7.33,50.338
Sediment (s),1133,11,7.33,50.338
Water (ns),245,0.5,7.33,53.1
Water (ns),215,0.5,7.33,53.1
Water (ns),128,0.5,7.33,53.1
Water (ns),205,0.5,7.33,53.1
Water (ns),185,4.9,7.33,53.167
Water (ns),154,4.9,7.33,53.167
Water (ns),85,14.14,7.38,55.873
Water (ns),649,14.2,7.38,55.873
Water (ns),1335,14,7.38,55.906
Water (ns),127,15.6,7.4,55.905
Water (ns),250,14.2,7.4,68.49113
Water (ns),254,14.8,7.4,68.49113
Water (ns),239,14.4,7.4,68.49592
Water (ns),233,16.8,7.4,68.53405
Water (ns),587,17,7.4,68.53405
Water (ns),305,15.8,7.4,68.53698
Water (ns),176,9.63,7.4,68.5684
Water (ns),200,11.43,7.4,68.5684
Water (ns),311,12.04,7.4,68.5684
Water (ns),73,13.59,7.4,68.5684
Water (ns),281,17.87,7.4,68.571037
Water (ns),43,6.4,7.4,68.57366667
Water (ns),1720,7.3,7.4,68.57366667
Water (ns),1979,8.9,7.4,68.57366667
Water (ns),52,10,7.4,68.57366667
Water (ns),1956,10.4,7.4,68.57366667
Water (ns),613,8,7.4,68.574
Water (ns),2285,7.9,7.4,68.578643
Water (ns),325,9.16,7.4,68.582062
Water (ns),586,7.8,7.4,68.58333333
Water (ns),379,13.2,7.4,68.58357
Water (ns),400,15.3,7.4,68.585
Water (ns),1339,10.7,7.4,68.585839
Water (ns),252,9.75,7.4,68.595875
Water (ns),212,10.61,7.4,68.595875
Water (ns),325,12.02,7.4,68.595875
Water (ns),267,13.09,7.4,68.595875
Water (ns),2530,7.8,7.4,68.59688333
Water (ns),1133,8.5,7.4,68.59688333
Water (ns),1126,9,7.4,68.59688333
Water (ns),1876,11.4,7.4,68.59688333
Water (ns),2348,6.9,7.4,68.6
Water (ns),2341,8.6,7.4,68.6
Water (ns),1912,9.9,7.4,68.6
Water (ns),1701,14.1,7.4,68.6
Water (ns),233,11.35,7.4,68.600601
Water (ns),265,11.83,7.4,68.600601
Water (ns),284,13.36,7.4,68.600601
Water (ns),246,17.72,7.4,68.600601
Water (ns),1868,11.6,7.4,68.601493
Water (ns),203,12.8,7.4,68.601493
Water (ns),334,13.2,7.4,68.601493
Water (ns),231,9,7.4,68.60853333
Water (ns),609,17.3,7.4,68.60853333
Water (ns),590,6.5,7.4,68.609717
Water (ns),389,10.5,7.4,68.609717
Water (ns),182,13.79,7.4,68.609717
Water (ns),1303,11.4,7.4,68.61035
Water (ns),1512,11.9,7.4,68.61035
Water (ns),168,12.1,7.4,68.61035
Water (ns),533,12.6,7.4,68.61035
Water (ns),318,13.41,7.4,68.610781
Water (ns),543,8.5,7.4,68.611341
Water (ns),312,11.6,7.4,68.611341
Water (ns),247,12.6,7.4,68.611341
Water (ns),323,14.9,7.4,68.611341
Water (ns),980,11.2,7.4,68.61818333
Water (ns),2234,8.1,7.4,68.61838333
Water (ns),712,8.7,7.4,68.61838333
Water (ns),495,9,7.4,68.61838333
Water (ns),739,10.5,7.4,68.61838333
Water (ns),1096,11.1,7.4,68.61838333
Water (ns),314,12.4,7.4,68.61838333
Water (ns),1649,13.2,7.4,68.61838333
Water (ns),584,13.3,7.4,68.61838333
Water (ns),692,14.1,7.4,68.61838333
Water (ns),1422,14.4,7.4,68.61838333
Water (ns),1919,17.2,7.4,68.61838333
Water (ns),1721,18.1,7.4,68.61838333
Water (ns),295,10.4,7.4,68.61938333
Water (ns),1719,10.1,7.4,68.62016667
Water (ns),2079,6.3,7.4,68.622
Water (ns),969,6.4,7.4,68.622
Water (ns),2262,8.8,7.4,68.622
Water (ns),2575,9.2,7.4,68.622
Water (ns),323,16.7,7.4,68.62276
Water (ns),307,17.5,7.4,68.62276
Water (ns),851,14.4,7.4,68.62538
Water (ns),916,9.8,7.4,68.6256
Water (ns),210,11,7.4,68.6256
Water (ns),286,11.1,7.4,68.6256
Water (ns),29,12.1,7.4,68.6256
Water (ns),691,13,7.4,68.6256
Water (ns),1216,13.5,7.4,68.6256
Water (ns),1121,15.8,7.4,68.6256
Water (ns),623,15.8,7.4,68.6256
Water (ns),27,16.2,7.4,68.6256
Water (ns),306,1.37,7.4,68.629961
Water (ns),268,5.69,7.4,68.629961
Water (ns),298,6.54,7.4,68.629961
Water (ns),423,10.85,7.4,68.629961
Water (ns),256,12.28,7.4,68.629961
Water (ns),294,12.79,7.4,68.629961
Water (ns),37,14.43,7.4,68.629961
Water (ns),239,15,7.4,68.629961
Water (ns),1536,9,7.4,68.673757
Water (ns),995,13.2,7.4,68.673757
Water (ns),1262,16,7.4,68.673757
Water (ns),187,16,7.4,68.705
Water (ns),237,13.2,7.4,68.8264
Water (ns),301,16.1,7.4,68.86755
Water (ns),251,19.7,7.4,68.86755
Water (ns),303,15.5,7.4,68.87315
Water (ns),311,19.1,7.4,68.87315
Water (ns),401,16.6,7.5,68.51007
Water (ns),451,16.6,7.5,68.51007
Water (ns),414,18,7.5,68.51007
Water (ns),218,15.6,7.5,68.53405
Water (ns),213,9.78,7.5,68.5684
Water (ns),295,13.73,7.5,68.5684
Water (ns),333,18.28,7.5,68.5684
Water (ns),1662,8.9,7.5,68.57366667
Water (ns),1258,9.5,7.5,68.57366667
Water (ns),104,9.6,7.5,68.57366667
Water (ns),191,11.7,7.5,68.57366667
Water (ns),776,11.6,7.5,68.57478333
Water (ns),214,11.67,7.5,68.582062
Water (ns),286,12.2,7.5,68.582062
Water (ns),196,13.87,7.5,68.582062
Water (ns),232,14.34,7.5,68.582062
Water (ns),188,15.47,7.5,68.582062
Water (ns),425,9.9,7.5,68.58333333
Water (ns),308,14.6,7.5,68.58333333
Water (ns),238,15.2,7.5,68.58333333
Water (ns),383,14,7.5,68.58357
Water (ns),240,16.9,7.5,68.58357
Water (ns),388,9.1,7.5,68.5896775
Water (ns),324,13.8,7.5,68.5896775
Water (ns),367,15.9,7.5,68.5896775
Water (ns),272,13.65,7.5,68.595875
Water (ns),220,10.36,7.5,68.600601
Water (ns),214,13.26,7.5,68.600601
Water (ns),386,13.37,7.5,68.600601
Water (ns),1943,9.2,7.5,68.601493
Water (ns),2036,13.7,7.5,68.601493
Water (ns),1975,3.8,7.5,68.60853333
Water (ns),2500,8.4,7.5,68.60853333
Water (ns),2320,8.8,7.5,68.60853333
Water (ns),443,9.2,7.5,68.60853333
Water (ns),884,9.8,7.5,68.60853333
Water (ns),228,13.9,7.5,68.60853333
Water (ns),210,13.9,7.5,68.60853333
Water (ns),1163,13.9,7.5,68.60853333
Water (ns),77,13.9,7.5,68.60853333
Water (ns),505,14.2,7.5,68.60895
Water (ns),317,6.44,7.5,68.609717
Water (ns),357,6.88,7.5,68.609717
Water (ns),1229,10.1,7.5,68.61035
Water (ns),1716,14.2,7.5,68.61035
Water (ns),535,9.28,7.5,68.610781
Water (ns),354,10.7,7.5,68.611341
Water (ns),298,11.6,7.5,68.611341
Water (ns),233,12.8,7.5,68.611341
Water (ns),296,13.7,7.5,68.611341
Water (ns),242,13.9,7.5,68.611341
Water (ns),262,13.9,7.5,68.611341
Water (ns),253,13.9,7.5,68.611341
Water (ns),217,14,7.5,68.611341
Water (ns),245,14.4,7.5,68.611341
Water (ns),603,8.6,7.5,68.61818333
Water (ns),1039,8.6,7.5,68.61818333
Water (ns),538,14.1,7.5,68.61818333
Water (ns),1295,15.7,7.5,68.61818333
Water (ns),133,16.3,7.5,68.61818333
Water (ns),264,16.3,7.5,68.61818333
Water (ns),312,6.4,7.5,68.61838333
Water (ns),628,9.2,7.5,68.61838333
Water (ns),310,9.7,7.5,68.61838333
Water (ns),429,11.2,7.5,68.61838333
Water (ns),1207,11.4,7.5,68.61838333
Water (ns),447,11.5,7.5,68.61838333
Water (ns),721,12.6,7.5,68.61838333
Water (ns),34,13.1,7.5,68.61838333
Water (ns),416,13.3,7.5,68.61838333
Water (ns),764,13.4,7.5,68.61838333
Water (ns),442,14.9,7.5,68.61838333
Water (ns),1483,15.4,7.5,68.61838333
Water (ns),252,16.3,7.5,68.61838333
Water (ns),259,16.3,7.5,68.61838333
Water (ns),320,16.3,7.5,68.61838333
Water (ns),1692,16.3,7.5,68.61838333
Water (ns),784,16.4,7.5,68.61838333
Water (ns),2018,6.2,7.5,68.622
Water (ns),2599,8.4,7.5,68.622
Water (ns),2278,9.1,7.5,68.622
Water (ns),1146,9.8,7.5,68.622
Water (ns),276,16,7.5,68.62538
Water (ns),348,17.3,7.5,68.62538
Water (ns),635,7.8,7.5,68.6256
Water (ns),883,8.5,7.5,68.6256
Water (ns),1361,9.8,7.5,68.6256
Water (ns),887,10.4,7.5,68.6256
Water (ns),1458,10.4,7.5,68.6256
Water (ns),1099,11.5,7.5,68.6256
Water (ns),760,11.5,7.5,68.6256
Water (ns),622,11.9,7.5,68.6256
Water (ns),826,11.9,7.5,68.6256
Water (ns),1093,12,7.5,68.6256
Water (ns),494,12.1,7.5,68.6256
Water (ns),562,12.4,7.5,68.6256
Water (ns),1094,12.8,7.5,68.6256
Water (ns),945,13.5,7.5,68.6256
Water (ns),536,13.6,7.5,68.6256
Water (ns),1171,13.7,7.5,68.6256
Water (ns),1284,13.7,7.5,68.6256
Water (ns),1455,14,7.5,68.6256
Water (ns),1465,14.5,7.5,68.6256
Water (ns),1373,14.6,7.5,68.6256
Water (ns),1372,16.5,7.5,68.6256
Water (ns),1097,17.7,7.5,68.6256
Water (ns),260,4.89,7.5,68.629961
Water (ns),114,5.44,7.5,68.629961
Water (ns),263,5.44,7.5,68.629961
Water (ns),383,10.11,7.5,68.629961
Water (ns),325,10.92,7.5,68.629961
Water (ns),256,12.26,7.5,68.629961
Water (ns),352,13.13,7.5,68.629961
