Location,OO,Temperature,pH,Latitude
Soil (ns),432,4.6,4.72,71.296
Soil (ns),443,4.6,4.72,71.296
Soil (ns),632,4.6,4.72,71.296
Soil (ns),482,4.6,4.72,71.296
Soil (ns),456,4.6,4.72,71.296
Soil (ns),520,4.6,4.72,71.296
Soil (ns),393,4.6,4.72,71.296
Soil (ns),422,4.6,4.72,71.296
Water (ns),93,5,4.74,53.1
Water (ns),136,5,4.74,53.1
Soil (ns),517,4.4,4.76,71.296
Soil (ns),548,4.4,4.76,71.296
Soil (ns),491,4.4,4.76,71.296
Soil (ns),513,4.4,4.76,71.296
Water (ns),212,1.6,4.78,53.1
Water (ns),177,4.9,4.78,53.1
Water (ns),128,4.9,4.78,53.1
Water (ns),428,11.4,4.78,53.1
Water (ns),335,11.4,4.78,53.1
Water (ns),164,5.4,4.79,53.1
Water (ns),91,5.4,4.79,53.1
Water (ns),241,10.1,4.79,53.1
Water (ns),204,10.1,4.79,53.1
Water (ns),118,3.9,4.8,53.1
Water (ns),93,3.9,4.8,53.1
Water (ns),1470,8.9,4.8,53.1
Water (ns),322,5.9,4.82,53.1
Water (ns),393,5.9,4.82,53.1
Water (ns),134,16.1,4.82,53.1
Water (ns),169,16.1,4.82,53.1
Water (ns),204,17.2,4.82,53.1
Water (ns),197,17.2,4.82,53.1
Water (ns),330,5,4.84,53.1
Water (ns),213,5,4.84,53.1
Water (ns),408,8.2,4.84,53.1
Water (ns),413,8.2,4.84,53.1
Water (ns),67,8.6,4.85,53.1
Water (ns),185,8.6,4.85,53.1
Water (ns),245,4.3,4.86,53.1
Water (ns),298,4.3,4.86,53.1
Soil (ns),475,5.9,4.86,71.296
Soil (ns),590,5.9,4.86,71.296
Water (ns),228,7.3,4.87,53.1
Water (ns),208,7.3,4.87,53.1
Water (ns),57,5.4,4.88,53.1
Water (ns),181,5.4,4.88,53.1
Water (ns),274,8,4.91,53.1
Water (ns),111,8,4.91,53.1
Water (ns),1680,3,4.92,53.1
Water (ns),72,3,4.92,53.1
Water (ns),218,6.8,4.92,53.1
Water (ns),208,10.2,4.92,53.1
Water (ns),206,10.2,4.92,53.1
Water (ns),73,3.6,4.95,53.1
Water (ns),182,3.6,4.95,53.1
Water (ns),218,3.9,4.95,53.1
Water (ns),143,3.9,4.95,53.1
Water (ns),98,5.3,4.95,53.1
Water (ns),206,5.3,4.95,53.1
Water (ns),243,4.6,4.96,53.1
Water (ns),229,4.6,4.96,53.1
Water (ns),233,6.8,4.96,53.1
Water (ns),208,5,4.98,53.1
Water (ns),279,5,4.98,53.1
Soil (ns),474,4.4,5.01,71.296
Soil (ns),372,4.4,5.01,71.296
Soil (ns),353,4.4,5.01,71.296
Soil (ns),444,4.4,5.01,71.296
Soil (ns),396,4.4,5.01,71.296
Soil (ns),504,4.4,5.01,71.296
Soil (ns),396,4.4,5.01,71.296
Soil (ns),419,4.4,5.01,71.296
Water (ns),228,22.3,5.02,53.1
Water (ns),161,22.3,5.02,53.1
Water (ns),496,17.9,5.15,53.1
Water (ns),78,17.9,5.15,53.1
Water (ns),609,12.1,5.2,68.6256
Water (ns),245,0.4,5.36,53.1
Water (ns),236,0.4,5.36,53.1
Water (ns),178,0.4,5.36,53.1
Water (ns),261,20.1,5.37,53.1
Water (ns),139,20.1,5.37,53.1
Water (ns),194,9.6,5.5,68.69301831
Water (ns),689,15.6,5.54,53.1
Water (ns),121,15.6,5.54,53.1
Water (ns),342,7.5,5.58,53.1
Water (ns),483,7.5,5.58,53.1
Water (ns),110,10.9,5.59,53.1
Water (ns),311,10.9,5.59,53.1
Water (ns),246,13.1,5.65,53.1
Water (ns),142,13.1,5.65,53.1
Water (ns),142,6,5.7,53.1
Water (ns),236,7.8,5.7,68.60853333
Water (ns),201,2.7,5.73,53.1
Water (ns),174,2.7,5.73,53.1
Soil (ns),347,5,5.74,71.296
Soil (ns),439,5,5.74,71.296
Soil (ns),505,5,5.74,71.296
