Chao1	Latitude	Location
301.0294118	55.873	Soil
445.8125	55.873	Soil
339.7241379	55.873	Soil
211.04	55.873	Soil
151.9375	55.873	Soil
85.58333333	55.873	Soil
184	55.873	Soil
144.7142857	55.873	Soil
2258.400881	55.873	Soil
710.5901639	55.873	Soil
326.0227273	55.873	Soil
366	55.873	Soil
407.0769231	55.873	Soil
325.3488372	55.873	Soil
170.4736842	55.873	Soil
155.3529412	55.873	Soil
176.5	55.905	Water
2157.452282	55.905	Soil
2222.446903	55.906	Soil
1951.502439	55.905	Soil
1796.408451	55.905	Soil
1982.570048	55.905	Soil
2108.229358	55.905	Soil
2112.937238	55.905	Soil
1579.36646	55.905	Soil
1495.432432	55.906	Soil
1815.359606	55.905	Soil
1880.262376	55.905	Soil
1938.313433	55.905	Soil
1749.471591	55.906	Soil
1955.083721	55.905	Water
1798.679654	55.905	Soil
1783.387255	55.905	Soil
2016.696262	55.905	Soil
1982.772727	55.905	Soil
1725.592784	55.905	Soil
1783.022989	55.906	Soil
1902.292035	55.905	Soil
1608.755319	55.905	Soil
1935.031746	55.906	Soil
2160.345238	55.905	Water
1985.193878	55.905	Soil
1646.371287	55.905	Soil
1847.742424	55.905	Soil
1964.402655	55.905	Soil
1967.287938	55.905	Soil
1621.084337	55.905	Soil
1591.695652	55.906	Soil
2009.759777	55.905	Soil
1822.208092	55.905	Soil
1964.041284	55.905	Soil
1700.146341	55.906	Soil
1821.242678	55.905	Soil
2056.401099	55.905	Soil
485.2142857	55.906	Water
2001.599057	55.905	Soil
1777.102439	55.906	Soil
1046.009091	55.905	Soil
1248.763359	55.905	Soil
1253.625	55.906	Soil
1789.808511	55.905	Soil
1996.477273	55.905	Soil
2179.257511	55.905	Water
1773.639344	55.905	Soil
1841.884058	55.906	Soil
2220.096774	55.906	Soil
2061.030151	55.906	Soil
1425.835821	55.905	Water
1090.203883	55.905	Soil
1215.81982	55.905	Soil
1189.315385	55.906	Soil
1739.078125	55.905	Soil
2390.833333	55.905	Soil
1823.25641	55.905	Soil
2025.641509	55.906	Soil
2257.34252	55.906	Soil
1803.413043	55.905	Water
1759.333333	55.906	Soil
1435.604167	55.905	Water
1038.711712	55.905	Soil
944.5	55.905	Soil
1178.925373	55.906	Soil
1825.011236	55.905	Soil
1889.221698	55.905	Soil
1838.076923	55.905	Soil
1665.280543	55.906	Soil
1947.733945	55.906	Soil
1673.958333	55.905	Water
1769.642241	55.906	Soil
1177.594595	55.905	Soil
1198.239316	55.905	Soil
2280.453782	55.906	Water
1522.75	55.906	Soil
1675.705	55.905	Soil
1895.555024	55.905	Soil
1858.861386	55.905	Soil
1839.523207	55.906	Soil
2002.374486	55.906	Soil
1630.221622	55.905	Soil
1680.426471	55.906	Soil
1175.735537	55.905	Soil
1258.590909	55.905	Soil
1300	55.906	Soil
1968.879518	55.905	Soil
1885.601896	55.905	Soil
1779	55.905	Soil
1852.52381	55.906	Soil
1829.938326	55.906	Soil
2352.15942	55.905	Soil
1940.301887	55.906	Soil
1021.849558	55.905	Soil
1130.142857	55.905	Soil
1411	55.905	Soil
1175.960784	55.906	Soil
709.3409091	55.905	Water
1650.252475	55.905	Soil
1702.28972	55.905	Soil
1837.020101	55.905	Soil
1825.530612	55.905	Soil
2182.548077	55.906	Soil
1298.043478	55.905	Soil
1319.523438	55.905	Soil
850.7608696	55.905	Soil
1092.310345	55.906	Soil
433.9642857	55.905	Water
1715.715736	55.905	Soil
1669.586387	55.905	Soil
1948.802198	55.905	Soil
518.5166667	55.873	Soil
1362.684211	55.873	Soil
1143.129412	55.873	Soil
411.125	55.873	Soil
1730.018405	55.873	Soil
