Latitude	Shannon	Location
40.015	4.823910561	Animal
40.015	5.89541519	Animal
40.015	5.098337991	Animal
40.015	5.297971455	Animal
40.015	4.776560189	Animal
40.015	4.81047391	Animal
40.015	3.400896685	Animal
40.015	5.680831247	Animal
40.015	5.357356338	Animal
40.015	6.312097299	Animal
40.015	6.662262246	Animal
40.015	4.865162449	Animal
40.015	4.627068023	Animal
40.015	3.816087969	Animal
40.015	4.56035195	Animal
40.015	4.305174264	Animal
40.015	4.900368059	Animal
40.015	5.990416689	Animal
40.015	5.922850335	Animal
40.015	5.184866139	Animal
40.015	5.171494807	Animal
40.015	4.868746997	Animal
40.015	6.053024454	Animal
40.015	7.055795962	Animal
40.015	5.919619541	Animal
40.015	5.706652929	Animal
40.015	5.192415053	Animal
40.015	5.050809879	Animal
40.015	5.390242701	Animal
40.015	4.950748572	Animal
40.015	6.525396963	Animal
40.015	4.573836732	Animal
40.015	5.160299778	Animal
40.015	5.517952002	Animal
40.015	5.39853372	Animal
40.015	5.707924031	Animal
40.015	5.38043787	Animal
40.015	4.792868679	Animal
40.015	5.718228584	Animal
40.015	5.570435223	Animal
40.015	5.29605248	Animal
40.015	4.767813024	Animal
40.015	5.212323351	Animal
40.015	4.728111359	Animal
40.015	6.560292204	Animal
40.015	4.703944635	Animal
40.015	5.264777692	Animal
40.015	6.073744985	Animal
40.015	5.116946589	Animal
40.015	5.555716459	Animal
40.015	5.09137755	Animal
40.015	5.556572429	Animal
40.015	4.894227518	Animal
40.015	4.893434463	Animal
40.015	5.197935181	Animal
40.015	5.999150918	Animal
40.015	4.021383656	Animal
40.015	3.139851838	Animal
40.015	4.993335462	Animal
40.015	2.460747726	Animal
40.015	5.521874621	Animal
40.015	1.868609609	Animal
40.015	3.715043148	Animal
40.015	3.906715251	Animal
40.015	4.874283414	Animal
40.015	3.281403602	Animal
40.015	5.672386002	Animal
40.015	5.490902449	Animal
40.015	4.318227813	Animal
40.015	2.322556694	Animal
40.015	4.352730522	Animal
40.015	5.764961239	Animal
40.015	4.506694509	Animal
40.015	5.27395626	Animal
40.015	5.501538385	Animal
40.015	5.983745197	Animal
40.015	4.769498613	Animal
40.015	5.591077695	Animal
40.015	4.233848808	Animal
40.015	3.503847236	Animal
40.015	4.500666315	Animal
40.015	6.028824453	Animal
40.015	2.946172859	Animal
40.015	3.876577647	Animal
40.015	6.028290302	Animal
40.015	3.242367591	Animal
40.015	4.569762966	Animal
40.015	5.489384732	Animal
40.015	3.752757731	Animal
40.015	5.065054418	Animal
40.015	3.671657762	Animal
40.015	5.910918133	Animal
40.015	2.873568329	Animal
40.015	3.554622068	Animal
40.015	5.994243213	Animal
40.015	6.119812405	Animal
40.015	6.060078093	Animal
40.015	5.431860409	Animal
40.015	5.351423839	Animal
40.015	5.477183743	Animal
40.015	4.002929038	Animal
40.015	4.20436059	Animal
40.015	4.0938191	Animal
40.015	6.51111361	Animal
40.015	2.543345829	Animal
40.015	2.105244032	Animal
40.015	4.82456615	Animal
40.015	5.805523607	Animal
40.015	5.638123503	Animal
40.015	6.149183548	Animal
40.015	5.158695306	Animal
40.015	4.108813951	Animal
40.015	3.589430393	Animal
40.015	5.866268456	Animal
40.015	5.179730298	Animal
40.015	5.523577913	Animal
40.015	4.953370315	Animal
40.015	4.270409693	Animal
40.015	7.270475229	Animal
40.015	1.221514992	Animal
40.015	4.749476948	Animal
40.015	5.817666151	Animal
40.015	5.915081807	Animal
40.015	4.250788632	Animal
40.015	3.815647631	Animal
40.015	6.080855796	Animal
40.015	7.252021101	Animal
40.015	3.474965123	Animal
40.015	5.919476071	Animal
40.015	6.550853856	Animal
40.015	6.010744846	Animal
40.015	4.334063153	Animal
40.015	3.8646512	Animal
40.015	5.627956229	Animal
40.015	6.869966158	Animal
40.015	5.851853821	Animal
40.015	6.52334161	Animal
40.015	5.854583736	Animal
40.015	3.117580135	Animal
40.015	3.398329524	Animal
40.015	6.057640411	Animal
40.015	5.408763263	Animal
40.015	3.0033092	Animal
40.015	4.713668914	Animal
40.015	5.612142224	Animal
40.015	5.994739501	Animal
40.015	6.080838618	Animal
40.015	4.874067827	Animal
40.015	4.888871106	Animal
40.015	3.880336963	Animal
40.015	5.808427599	Animal
40.015	4.139987208	Animal
40.015	4.542040031	Animal
40.015	4.681516533	Animal
40.015	4.169846018	Animal
40.015	4.243522313	Animal
40.015	4.50894188	Animal
40.015	3.918398782	Animal
40.015	2.975948427	Animal
40.015	4.494298792	Animal
40.015	4.540793051	Animal
40.015	4.136679884	Animal
40.015	3.520421335	Animal
40.015	4.212914253	Animal
40.015	4.491193047	Animal
40.015	3.888259042	Animal
40.015	4.186294069	Animal
40.015	3.604049784	Animal
40.015	3.590314364	Animal
40.015	3.546460758	Animal
40.015	3.357991473	Animal
40.015	4.578854926	Animal
40.015	4.02118401	Animal
40.015	4.2867185	Animal
40.015	4.331306203	Animal
40.015	4.114038233	Animal
40.015	5.478363691	Animal
40.015	5.36959731	Animal
40.015	3.812047417	Animal
40.015	3.820076188	Animal
40.015	5.519631518	Animal
40.015	3.988688047	Animal
40.015	4.123024798	Animal
40.015	4.545747399	Animal
40.015	2.832901911	Animal
40.015	3.580901395	Animal
40.015	4.130276813	Animal
40.015	4.024527565	Animal
40.015	5.563411099	Animal
40.015	4.968368884	Animal
40.015	5.013313673	Animal
40.015	4.448445303	Animal
40.015	3.88315031	Animal
40.015	4.389930768	Animal
40.015	4.314828801	Animal
40.015	4.005830141	Animal
40.015	5.515561006	Animal
40.015	3.962608903	Animal
40.015	4.160481607	Animal
40.015	3.775810027	Animal
40.015	3.673736793	Animal
40.015	4.020241671	Animal
40.015	3.906919387	Animal
40.015	4.205268337	Animal
40.015	3.978039824	Animal
40.015	3.559781777	Animal
40.015	4.154182347	Animal
40.015	5.199834223	Animal
40.015	5.930906099	Animal
40.015	7.132566814	Animal
40.015	6.345728663	Animal
40.015	4.343498015	Animal
40.015	5.888754958	Animal
40.015	4.454367373	Animal
40.015	3.755602444	Animal
40.015	4.840081724	Animal
40.015	6.128008875	Animal
40.015	5.72295878	Animal
40.015	4.153866472	Animal
40.015	3.715897751	Animal
40.015	3.289424186	Animal
40.015	6.545729014	Animal
40.015	4.850969215	Animal
40.015	6.914739037	Animal
40.015	5.553860842	Animal
40.015	4.706676826	Animal
40.015	7.066360702	Animal
40.015	4.892968755	Animal
40.015	1.740399917	Animal
40.015	5.693917451	Animal
40.015	4.559557893	Animal
40.015	4.629062091	Animal
40.015	4.74002396	Animal
40.015	4.89395379	Animal
40.015	4.792943399	Animal
40.015	7.792050584	Animal
40.015	1.360749114	Animal
40.015	5.126608474	Animal
40.015	6.053037637	Animal
40.015	5.170996238	Animal
40.015	1.604851568	Animal
40.015	7.185749309	Animal
40.015	5.86369578	Animal
40.015	3.724800625	Animal
40.015	5.790337272	Animal
40.015	4.062081211	Animal
40.015	7.114526439	Animal
40.015	6.193438468	Animal
40.015	4.21226782	Animal
40.015	3.600733527	Animal
40.015	4.790925278	Animal
40.015	7.368330678	Animal
40.015	4.431495935	Animal
40.015	5.019946336	Animal
40.015	5.517370492	Animal
40.015	3.144776118	Animal
40.015	4.312584899	Animal
40.015	4.302061217	Animal
40.015	2.565368246	Animal
40.015	6.232143964	Animal
40.015	5.316082255	Animal
40.015	3.830339436	Animal
40.015	4.394060349	Animal
40.015	4.986421741	Animal
40.015	5.160731093	Animal
40.015	4.465015894	Animal
40.015	5.8039526	Animal
40.015	5.040163443	Animal
40.015	2.630992971	Animal
40.015	3.632778929	Animal
40.015	2.787475882	Animal
40.015	5.804913551	Animal
40.015	4.321617406	Animal
40.015	3.802627342	Animal
40.015	2.903126251	Animal
40.015	6.905769267	Animal
40.015	4.227495028	Animal
40.015	3.662890881	Animal
40.015	4.951925984	Animal
40.015	6.85036409	Animal
40.015	5.283096071	Animal
