Chao1	Latitude	Location
353.1538462	43.4257	Plant
280.2162162	43.4257	Plant
260.0909091	43.4257	Plant
353.0769231	43.4257	Plant
242.3703704	43.4257	Plant
195.5	43.4257	Plant
153.3448276	43.4257	Plant
134.8	43.4257	Plant
145	43.4257	Plant
202.4444444	43.4257	Plant
312.9333333	43.4257	Plant
229.2352941	43.4257	Plant
217.12	43.4257	Plant
297.2631579	43.4257	Plant
182	43.4257	Plant
189.125	43.4257	Plant
78.66666667	43.4257	Plant
220.4347826	43.4257	Plant
350.59375	43.4257	Plant
242.1538462	43.4257	Plant
160.1052632	43.4257	Plant
184.0526316	43.4257	Plant
423.8875	43.425683	Plant
318.0909091	43.425683	Plant
355.5454545	43.425683	Plant
368.1818182	43.425683	Plant
182	43.42568	Plant
250.5	43.42568	Plant
264.5	43.42568	Plant
240	43.42568	Plant
121.1111111	43.42568	Plant
333.0217391	43.42568	Plant
230.5652174	43.42568	Plant
123	43.42568	Plant
118	43.42568	Plant
90.66666667	43.4217	Plant
72.16666667	43.4217	Plant
74.5	43.4217	Plant
151.1428571	43.4217	Plant
193.2857143	43.4217	Plant
176.25	43.4217	Plant
177.2857143	43.4217	Plant
162	43.4217	Plant
154.1538462	43.4217	Plant
124.9090909	43.4217	Plant
88.3	43.4217	Plant
157.4	43.4217	Plant
115.25	43.4217	Plant
155.5	43.4217	Plant
177.75	43.4217	Plant
185.5	43.4217	Plant
215.5652174	43.4217	Plant
146.75	43.4217	Plant
140.2	43.4217	Plant
111.5	43.4217	Plant
162.44	43.4217	Plant
145	43.4217	Plant
128.75	43.4077	Plant
83.5	43.4077	Plant
68.5	43.4077	Plant
90.54545455	43.4077	Plant
283.0294118	43.4077	Plant
182.1428571	43.4077	Plant
312.5454545	43.4077	Plant
161.7142857	43.4077	Plant
145	43.4077	Plant
187.7142857	43.4077	Plant
186	43.4077	Plant
169.4	43.4077	Plant
234.8	43.4077	Plant
142.8666667	43.4077	Plant
48.25	43.4077	Plant
112.3529412	43.4077	Plant
180.7857143	43.4077	Plant
149.1176471	43.4077	Plant
131	43.4077	Plant
159	43.4077	Plant
113.6666667	43.4077	Plant
116.0833333	43.4077	Plant
112	43.4077	Plant
78.125	43.4077	Plant
167.1612903	43.4077	Plant
141.2	43.4077	Plant
149.4	43.4077	Plant
216.7567568	43.1403	Plant
230.1428571	43.1403	Plant
166.0555556	43.1403	Plant
173.7916667	43.1403	Plant
259	43.1403	Plant
463.8333333	43.1403	Plant
410.1351351	43.1403	Plant
77.11111111	43.1403	Plant
226.7692308	43.1403	Plant
201.0454545	43.1403	Plant
339.5	43.1403	Plant
223.4285714	43.1403	Plant
186	43.1403	Plant
261.4285714	43.1403	Plant
248.84	43.1403	Plant
224.6875	43.1403	Plant
108.3529412	43.1403	Plant
267.8	43.1403	Plant
178.3684211	43.1403	Plant
215.6190476	43.1403	Plant
196.6470588	43.1403	Plant
117.5	43.1403	Plant
119.0909091	43.1403	Plant
198.6818182	43.1403	Plant
283.5	43.1403	Plant
168.6666667	43.1399	Plant
110.4	43.1399	Plant
195.4761905	43.1399	Plant
137.4285714	43.1399	Plant
434.9183673	43.1399	Plant
449.1707317	43.1399	Plant
379.025	43.1399	Plant
336	43.1399	Plant
335.6896552	43.1399	Plant
491.5660377	43.1399	Plant
406.9491525	43.1399	Plant
198	43.1399	Plant
280.9130435	43.1399	Plant
198.0434783	43.1399	Plant
125.3	43.1399	Plant
166.0555556	43.1399	Plant
177.1428571	43.1399	Plant
233.625	43.1399	Plant
170.1875	43.1399	Plant
314.0625	43.1399	Plant
478.0175439	43.1399	Plant
429.8571429	43.1399	Plant
375	43.1399	Plant
216.1428571	43.1399	Plant
312.40625	43.1399	Plant
254.2916667	43.1399	Plant
274.5	43.1399	Plant
214.6	43.1399	Plant
140	43.1399	Plant
140	43.1399	Plant
182.0714286	43.1399	Plant
235.137931	43.1399	Plant
148	43.1399	Plant
211.25	43.1399	Plant
226.3913043	43.1399	Plant
160.1538462	43.1399	Plant
106.3636364	43.1399	Plant
174	43.1399	Plant
118.0555556	43.1399	Plant
119.3157895	43.1399	Plant
93.375	43.1399	Plant
162.0666667	43.1399	Plant
127.6666667	43.1399	Plant
258.5	43.1399	Plant
231.46875	43.1399	Plant
212.1111111	43.1399	Plant
122.75	43.1399	Plant
756	43.139883	Plant
723.5	43.139883	Plant
655.5121951	43.139883	Plant
717.3134328	43.139883	Plant
768.9710145	43.139883	Plant
850.5128205	43.139883	Plant
986.9367089	43.139883	Plant
911.0120482	43.139883	Plant
831.0434783	43.139883	Plant
930.741573	43.139883	Plant
859.0126582	43.139883	Plant
629.6233766	43.139883	Plant
975.5670103	43.139883	Plant
584.6521739	43.139883	Plant
895.7142857	43.139883	Plant
221.5555556	43.1369	Plant
177.8333333	43.1369	Plant
148	43.1369	Plant
258.8823529	43.1369	Plant
305.4864865	43.1369	Plant
320.4042553	43.1369	Plant
509.0151515	43.1369	Plant
338.3469388	43.1369	Plant
445.375	43.1369	Plant
428.0588235	43.1369	Plant
235	43.1369	Plant
190.0769231	43.1369	Plant
260.6666667	43.1369	Plant
206.84	43.1369	Plant
201.5	43.1369	Plant
171	43.1369	Plant
245.0285714	43.1369	Plant
92.14285714	43.1369	Plant
337.5294118	43.1369	Plant
413.1851852	43.1369	Plant
397.1960784	43.1369	Plant
669.3333333	43.1369	Plant
243.7	43.1369	Plant
262.4411765	43.1369	Plant
206.1071429	43.1369	Plant
284.125	43.1369	Plant
178.6666667	43.1369	Plant
254.875	43.1369	Plant
240.6521739	43.1369	Plant
155	43.1369	Plant
231.4375	43.1369	Plant
258.2352941	43.1369	Plant
190.2068966	43.1369	Plant
120.4285714	43.1369	Plant
151.6	43.1369	Plant
104.8333333	43.1369	Plant
125.25	43.1369	Plant
129.375	43.1369	Plant
159.8695652	43.1369	Plant
253.7368421	43.1369	Plant
119.4	43.1369	Plant
275.2068966	43.1369	Plant
254.5769231	43.1369	Plant
277.5384615	43.1369	Plant
224.2727273	43.1369	Plant
200	43.1369	Plant
94.46153846	43.1369	Plant
137	43.1369	Plant
142.6666667	43.1369	Plant
121	43.1369	Plant
153.3333333	43.1369	Plant
420.5714286	43.1369	Plant
364.9782609	43.1369	Plant
229.75	43.1369	Plant
299.7368421	43.1369	Plant
338.7575758	43.1369	Plant
220.4411765	43.1369	Plant
294.9655172	43.1369	Plant
199.2608696	43.1369	Plant
182.4615385	43.1369	Plant
130.1111111	43.1369	Plant
336.8125	43.136867	Plant
141.0769231	43.136867	Plant
258.4375	43.136867	Plant
164.0526316	43.136867	Plant
243.64	43.136867	Plant
426.0588235	43.136867	Plant
429.122449	43.136867	Plant
395.1111111	43.136867	Plant
450.0181818	43.136867	Plant
314.0277778	43.136867	Plant
226.2142857	43.136867	Plant
184.0526316	43.136867	Plant
269.75	43.136867	Plant
198.2	43.136867	Plant
169.7142857	43.136867	Plant
229	43.1234	Plant
182.2608696	43.1234	Plant
142.8333333	43.1234	Plant
191.3529412	43.1234	Plant
192.3125	43.1234	Plant
430	43.1234	Plant
424.5490196	43.1234	Plant
276	43.1234	Plant
485.0909091	43.1234	Plant
648.9666667	43.1234	Plant
180.2307692	43.1234	Plant
214.4615385	43.1234	Plant
216	43.1234	Plant
211	43.1234	Plant
275.1666667	43.1234	Plant
122.4375	43.1234	Plant
161.1818182	43.1234	Plant
163.3529412	43.1234	Plant
148.5882353	43.1234	Plant
213.6521739	43.1234	Plant
572.7666667	43.1234	Plant
580.8918919	43.1234	Plant
271.5238095	43.1234	Plant
294.2777778	43.1234	Plant
547.5166667	43.1234	Plant
112.4285714	43.1234	Plant
317.3529412	43.1234	Plant
240.6774194	43.1234	Plant
299.8484848	43.1234	Plant
108	43.1234	Plant
143.0625	43.1234	Plant
62	43.1234	Plant
155.5	43.1234	Plant
125.4761905	43.1234	Plant
139.5454545	43.1234	Plant
123.1	43.1234	Plant
112.2142857	43.1234	Plant
344	43.1234	Plant
226.030303	43.1234	Plant
254.1071429	43.1234	Plant
251.40625	43.1234	Plant
344.3658537	43.1234	Plant
245.12	43.1234	Plant
152.2727273	43.1234	Plant
152	43.1234	Plant
126.5	43.1234	Plant
128.625	43.1234	Plant
106.0833333	43.1234	Plant
444.6545455	43.1234	Plant
300.972973	43.1234	Plant
434.6206897	43.1234	Plant
317.625	43.1234	Plant
497.42	43.1234	Plant
276.037037	43.1234	Plant
368.6666667	43.1234	Plant
284.3529412	43.1234	Plant
200	43.1234	Plant
132	43.1234	Plant
214.0384615	43.1234	Plant
167.6153846	43.1234	Plant
214.1304348	43.1234	Plant
225.5263158	43.1234	Plant
253.375	43.12335	Plant
219.55	43.12335	Plant
162.6153846	43.12335	Plant
329.4516129	43.12335	Plant
287.4642857	43.12335	Plant
414.5348837	43.12335	Plant
349.2777778	43.12335	Plant
276.6428571	43.12335	Plant
276.5652174	43.12335	Plant
535.5625	43.12335	Plant
822.8730159	43.12335	Plant
909.4736842	43.12335	Plant
903.5340909	43.12335	Plant
1024.045455	43.12335	Plant
932.641791	43.12335	Plant
133.25	43.0325	Plant
138.6666667	43.0325	Plant
158.5	43.0325	Plant
94.33333333	43.0325	Plant
149.0714286	43.0325	Plant
144.75	43.0325	Plant
154.2352941	43.0325	Plant
138.375	43.0325	Plant
204.75	43.0325	Plant
134.1875	43.0325	Plant
218.4	43.0325	Plant
245.1153846	43.0325	Plant
203	43.0325	Plant
271.4444444	43.0325	Plant
176.75	43.0325	Plant
132.4736842	43.0325	Plant
191.8965517	43.0325	Plant
159	43.0325	Plant
183.875	43.0325	Plant
129.2	43.0325	Plant
231.1034483	43.0325	Plant
249.5172414	43.0325	Plant
113.8	43.0325	Plant
192.1428571	43.0325	Plant
110.5	43.0077	Plant
83.27272727	43.0077	Plant
86.5	43.0077	Plant
77.66666667	43.0077	Plant
148.125	43.0077	Plant
120.5	43.0077	Plant
82	43.0077	Plant
96.125	43.0077	Plant
49	43.0077	Plant
120.3	43.0077	Plant
48.66666667	43.0077	Plant
115	43.0077	Plant
76.6	43.0077	Plant
59.27272727	43.0077	Plant
43.85714286	43.0077	Plant
75.6	43.0077	Plant
125.4	43.0077	Plant
137	43.0077	Plant
93.14285714	43.0077	Plant
135.0714286	43.0077	Plant
150.12	43.0077	Plant
122.6153846	43.0077	Plant
163.5384615	43.0077	Plant
121.4	43.0077	Plant
87.5	43.0077	Plant
79.75	43.0077	Plant
149.4	43.0077	Plant
123.5555556	43.0077	Plant
78	43.0077	Plant
165	42.95092	Plant
300	42.95092	Plant
262.5	42.95092	Plant
197.9090909	42.95092	Plant
332.40625	42.95092	Plant
171.4	42.95092	Plant
280	42.95092	Plant
274.0357143	42.95092	Plant
346.4418605	42.95092	Plant
228.8947368	42.95092	Plant
262.875	42.9509167	Plant
176.0588235	42.9509	Plant
160.1363636	42.9509	Plant
146.5	42.9509	Plant
136.3125	42.9509	Plant
262.2307692	42.9509	Plant
81	42.9509	Plant
113.0769231	42.9509	Plant
186.875	42.9509	Plant
156.2142857	42.9509	Plant
103.625	42.9509	Plant
132.5	42.9509	Plant
50.25	42.9509	Plant
154.3333333	42.9509	Plant
67.625	42.9509	Plant
75	42.9509	Plant
230.3333333	42.9509	Plant
239.3846154	42.9509	Plant
188.5555556	42.9509	Plant
204.4375	42.9509	Plant
356.6176471	42.9509	Plant
212.8666667	42.9509	Plant
198.7142857	42.9509	Plant
231.3448276	42.9509	Plant
226.4375	42.9509	Plant
198.2413793	42.9509	Plant
109	42.9509	Plant
166.4736842	42.9509	Plant
186.0454545	42.9509	Plant
262.875	42.9509	Plant
258.6666667	42.9509	Plant
321.0909091	42.9509	Plant
275.5384615	42.9509	Plant
261.75	42.9509	Plant
118	42.9509	Plant
70	42.9509	Plant
199.05	42.9509	Plant
72.42857143	42.9509	Plant
306.1	42.9509	Plant
127	42.9509	Plant
277.12	42.9509	Plant
253.2142857	42.9509	Plant
77.3	42.9509	Plant
174.1428571	42.9509	Plant
185.1052632	42.9509	Plant
251.1428571	42.9509	Plant
261.7142857	42.9509	Plant
166.3913043	42.9509	Plant
326	41.9693	Plant
50.75	41.9693	Plant
169.3333333	41.9693	Plant
516.375	41.9693	Plant
226.4	41.9693	Plant
149.5714286	41.9088	Plant
172.1	41.9088	Plant
163.8	41.9088	Plant
116.5882353	41.9088	Plant
94.08333333	41.9088	Plant
166.3125	41.9088	Plant
125	41.9088	Plant
83.375	41.9088	Plant
142.6190476	41.9088	Plant
102	41.9088	Plant
220.1428571	41.9088	Plant
137.4736842	41.9088	Plant
205	41.9088	Plant
106	41.9088	Plant
217	41.9088	Plant
174	41.9088	Plant
191.05	41.9088	Plant
123.25	41.9088	Plant
239.5555556	41.9088	Plant
192.3	41.9088	Plant
228.0666667	41.9088	Plant
215.7142857	41.9088	Plant
147.625	41.9088	Plant
162.4	41.9088	Plant
144	41.9088	Plant
242.25	41.9088	Plant
140.4545455	41.9088	Plant
177.9375	41.9088	Plant
237.7142857	41.9088	Plant
206.15	41.9088	Plant
249.0357143	41.9088	Plant
237.875	41.9088	Plant
135	41.9088	Plant
139.25	41.9088	Plant
148.0714286	41.9088	Plant
180.5	41.9088	Plant
105.5	41.9088	Plant
277.0769231	41.9088	Plant
439.5490196	41.9088	Plant
159.625	41.9088	Plant
327.6363636	41.9088	Plant
154.4615385	41.9088	Plant
100.3636364	41.9088	Plant
245.3	41.9088	Plant
91.5625	41.9088	Plant
121	41.9088	Plant
147.1538462	41.9088	Plant
226.2285714	41.9088	Plant
228.0555556	41.908767	Plant
415.4285714	41.908767	Plant
209	41.908767	Plant
185.125	41.908767	Plant
240.1578947	41.908767	Plant
284.3333333	41.908767	Plant
552.2465753	41.908767	Plant
555.2826087	41.908767	Plant
654.3333333	41.908767	Plant
395.5789474	41.908767	Plant
161.8695652	41.908767	Plant
132.25	41.908767	Plant
217.9032258	41.908767	Plant
295	41.908767	Plant
306.1	41.908767	Plant
127	41.8816	Plant
147.8571429	41.8816	Plant
259.5555556	41.8816	Plant
254.4	41.8816	Plant
459.7916667	41.8816	Plant
185.5263158	41.8816	Plant
192.15	41.8816	Plant
314	41.8816	Plant
179.4	41.8816	Plant
159.5263158	41.8816	Plant
205.5	41.8816	Plant
226.1818182	41.8816	Plant
163.7142857	41.8816	Plant
243.6521739	41.8816	Plant
173.4347826	41.8816	Plant
179.15	41.8816	Plant
291.5	41.8816	Plant
103.25	41.8816	Plant
226.3448276	41.8816	Plant
185.4761905	41.8816	Plant
65.2	41.8746	Plant
110.4285714	41.8746	Plant
172.3333333	41.8746	Plant
117.4736842	41.8746	Plant
139.8	41.8746	Plant
174.05	41.8746	Plant
177	41.8746	Plant
170.2173913	41.8746	Plant
112	41.8746	Plant
92	41.8746	Plant
215	41.8746	Plant
207.625	41.8746	Plant
280.0769231	41.8746	Plant
80.15384615	41.8746	Plant
124.1111111	41.871	Plant
110.0714286	41.871	Plant
158.0454545	41.871	Plant
286.6363636	41.871	Plant
129.8	41.871	Plant
177.2727273	41.871	Plant
200.125	41.871	Plant
126.12	41.871	Plant
279.2142857	41.871	Plant
214	41.871	Plant
203	41.871	Plant
306.0333333	41.871	Plant
155.1578947	41.871	Plant
156.6666667	41.871	Plant
206.1304348	41.871	Plant
665.85	41.8693167	Plant
306.3076923	41.8693167	Plant
352.1034483	41.8693167	Plant
278.6666667	41.8693167	Plant
347.0465116	41.8693167	Plant
316.2222222	41.8693167	Plant
469.8181818	41.8693167	Plant
521.122449	41.8693167	Plant
733.2523364	41.8693167	Plant
341.2413793	41.8693167	Plant
293.1071429	41.8693167	Plant
374.7017544	41.8693167	Plant
414.1304348	41.8693167	Plant
405.8571429	41.8693167	Plant
310.7179487	41.8693167	Plant
119.0909091	41.8693	Plant
167.3529412	41.8693	Plant
149.0769231	41.8693	Plant
128.2727273	41.8693	Plant
169.1363636	41.8693	Plant
259.1764706	41.8693	Plant
219.8	41.8693	Plant
218.5714286	41.8693	Plant
156.1	41.8693	Plant
356.025	41.8693	Plant
128.1052632	41.8693	Plant
231.9565217	41.8693	Plant
270	41.8693	Plant
293.0714286	41.8693	Plant
107.3	41.8693	Plant
68.42857143	41.8693	Plant
102.25	41.8693	Plant
238.4761905	41.8693	Plant
355.5384615	41.8693	Plant
242.0714286	41.8693	Plant
338.5172414	41.8693	Plant
167	41.8693	Plant
209	41.8693	Plant
301.0714286	41.8693	Plant
191.3333333	41.8693	Plant
109.9090909	41.8693	Plant
217.6470588	41.8693	Plant
209.0434783	41.8693	Plant
111	41.8693	Plant
144.5	41.8693	Plant
104	41.8693	Plant
151	41.8693	Plant
79.5	41.8693	Plant
384.8813559	41.8693	Plant
331.2307692	41.8693	Plant
397.326087	41.8693	Plant
346.137931	41.8693	Plant
190.5882353	41.8693	Plant
198.0555556	41.8693	Plant
137	41.8693	Plant
193.1111111	41.8693	Plant
264.125	41.8693	Plant
204.0416667	41.8693	Plant
104.0833333	41.8693	Plant
490.4285714	41.8693	Plant
211.6363636	41.8693	Plant
399.25	41.8693	Plant
424.1538462	41.86463	Plant
841.5365854	41.86463	Plant
355.5277778	41.86463	Plant
389.5714286	41.86463	Plant
267.5517241	41.86463	Plant
480.3829787	41.86463	Plant
571.362069	41.86463	Plant
375.6153846	41.86463	Plant
283.5	41.86463	Plant
415.6666667	41.86463	Plant
226.12	41.86463	Plant
251.15	41.86463	Plant
291.1956522	41.86463	Plant
422.7241379	41.86463	Plant
304	41.86463	Plant
219.516129	41.8464	Plant
198.5555556	41.8464	Plant
371.2068966	41.8464	Plant
149.0555556	41.8464	Plant
227.24	41.8464	Plant
184.0285714	41.8464	Plant
191.1764706	41.8464	Plant
173.1875	41.8464	Plant
206.04	41.8464	Plant
127.2307692	41.8464	Plant
183.75	41.8464	Plant
