OO	Latitude	Location
188	6.07	Proximal gut
45	6.07	Proximal gut
69	6.07	Distal gut
155	6.07	Proximal gut
136	6.07	Proximal gut
167	6.07	Distal gut
251	8.878333	Proximal gut
173	8.878333	Proximal gut
160	8.878333	Distal gut
118	8.878333	Proximal gut
174	8.878333	Proximal gut
147	8.878333	Distal gut
133	8.878333	Proximal gut
187	8.878333	Proximal gut
89	8.878333	Proximal gut
162	8.878333	Proximal gut
179	8.878333	Distal gut
314	8.878333	Proximal gut
178	8.878333	Proximal gut
226	8.878333	Distal gut
430	9.117	Distal gut
247	9.119	Distal gut
354	9.12	Distal gut
271	9.14	Distal gut
202	9.14	Distal gut
248	9.14	Distal gut
266	9.14	Distal gut
568	9.14	Distal gut
304	9.14	Distal gut
241	9.148	Distal gut
283	9.159	Distal gut
265	9.159	Distal gut
123	9.162	Distal gut
238	9.162	Distal gut
188	9.162	Distal gut
183	9.162	Distal gut
138	9.162	Distal gut
169	9.162	Distal gut
174	9.162	Distal gut
171	9.162	Distal gut
176	9.162	Distal gut
316	9.162	Distal gut
302	9.162	Distal gut
288	9.162	Distal gut
154	9.162	Distal gut
126	9.162	Distal gut
261	9.162	Distal gut
368	9.162	Distal gut
231	9.162	Distal gut
239	9.162	Distal gut
114	9.162	Distal gut
176	9.162	Distal gut
159	9.162	Distal gut
228	9.162	Distal gut
101	9.162	Distal gut
330	9.162	Distal gut
311	9.162	Distal gut
129	9.163	Distal gut
47	9.163	Distal gut
207	9.163	Distal gut
215	9.165	Distal gut
101	9.165	Distal gut
314	9.165	Distal gut
165	9.165	Distal gut
350	9.166	Distal gut
213	9.166	Distal gut
259	9.166	Distal gut
189	9.166	Distal gut
290	9.166	Distal gut
192	9.166	Distal gut
228	9.166	Distal gut
229	9.166	Distal gut
77	9.166	Distal gut
119	9.166	Distal gut
255	9.166	Distal gut
144	9.166	Distal gut
287	9.166	Distal gut
330	9.166	Distal gut
230	9.166	Distal gut
339	9.167	Distal gut
285	9.169	Distal gut
295	9.171	Distal gut
319	9.186	Distal gut
187	9.186	Distal gut
223	9.186	Distal gut
329	9.186	Distal gut
386	9.187	Distal gut
332	9.187	Distal gut
350	9.187	Distal gut
144	9.187	Distal gut
60	9.187	Distal gut
177	9.187	Distal gut
154	9.187	Distal gut
114	9.187	Distal gut
79	9.187	Distal gut
146	9.187	Distal gut
80	9.187	Distal gut
202	9.187	Distal gut
116	9.187	Distal gut
298	9.19	Distal gut
40	9.19	Distal gut
466	9.19	Distal gut
408	9.19	Distal gut
286	9.191	Distal gut
293	9.191	Distal gut
246	9.191	Distal gut
339	9.192	Distal gut
377	9.192	Distal gut
451	9.193	Distal gut
346	9.194	Distal gut
45	9.75	Distal gut
49	9.75	Distal gut
19	9.75	Distal gut
19	9.75	Distal gut
13	9.75	Distal gut
55	9.75	Distal gut
8	9.75	Distal gut
23	9.75	Distal gut
63	9.75	Distal gut
23	9.75	Distal gut
65	9.75	Distal gut
18	9.75	Distal gut
9	9.75	Distal gut
42	9.75	Distal gut
52	9.75	Distal gut
