OO	Latitude	Location
1147	55.906	Soil
643	55.905	Soil
649	55.905	Soil
1299	55.906	Water
786	55.906	Soil
1084	55.905	Soil
1152	55.905	Soil
1125	55.905	Soil
1172	55.906	Soil
1243	55.906	Soil
1037	55.905	Soil
1064	55.906	Soil
691	55.905	Soil
733	55.905	Soil
776	55.906	Soil
1118	55.905	Soil
1157	55.905	Soil
1109	55.905	Soil
1108	55.906	Soil
1160	55.906	Soil
1263	55.905	Soil
1202	55.906	Soil
598	55.905	Soil
610	55.905	Soil
775	55.905	Soil
737	55.906	Soil
335	55.905	Water
1074	55.905	Soil
1091	55.905	Soil
1103	55.905	Soil
1113	55.905	Soil
1233	55.906	Soil
754	55.905	Soil
751	55.905	Soil
507	55.905	Soil
630	55.906	Soil
250	55.905	Water
1085	55.905	Soil
1050	55.905	Soil
1098	55.905	Soil
370	55.873	Soil
804	55.873	Soil
619	55.873	Soil
308	55.873	Soil
1004	55.873	Soil
695	55.873	Soil
510	55.873	Soil
986	55.873	Soil
964	55.873	Soil
1268	55.873	Soil
865	55.873	Soil
321	55.873	Soil
795	55.873	Soil
829	55.873	Soil
298	55.873	Soil
994	55.873	Soil
1156	55.873	Soil
695	55.873	Soil
1122	55.873	Soil
1053	55.873	Soil
849	55.873	Soil
1254	55.873	Soil
848	55.873	Soil
1255	55.906	Soil
1131	55.905	Soil
1188	55.906	Soil
666	55.905	Soil
731	55.905	Soil
913	55.905	Soil
672	55.906	Soil
1156	55.905	Soil
1247	55.905	Soil
240	55.906	Water
1110	55.905	Soil
1174	55.906	Soil
1358	55.906	Soil
1211	55.905	Soil
1165	55.905	Soil
1241	55.905	Soil
1164	55.905	Soil
1325	55.905	Soil
862	55.905	Water
1148	55.905	Soil
1266	55.906	Soil
1163	55.905	Soil
1276	55.905	Soil
1162	55.905	Soil
1187	55.905	Soil
1169	55.905	Soil
1218	55.905	Soil
1322	55.905	Soil
1166	55.905	Soil
1173	55.906	Soil
166	55.905	Water
1167	55.905	Soil
1317	55.905	Soil
1173	55.905	Soil
1172	55.905	Soil
1262	55.905	Soil
1134	55.905	Soil
1244	55.905	Soil
1311	55.905	Soil
1208	55.906	Soil
1200	55.905	Water
1171	55.905	Soil
1244	55.905	Soil
1055	55.905	Soil
1177	55.905	Soil
593	55.906	Water
1105	55.905	Soil
1226	55.905	Soil
1231	55.905	Soil
1188	55.906	Soil
1229	55.905	Soil
1404	55.905	Soil
1082	55.906	Water
1083	55.905	Soil
1082	55.905	Soil
414	55.905	Water
1116	55.905	Soil
1078	55.906	Soil
1238	55.905	Soil
1241	55.905	Soil
1256	55.905	Soil
1297	55.905	Soil
1333	55.905	Water
1061	55.905	Soil
1321	55.905	Soil
1134	55.905	Soil
1212	55.906	Soil
1293	55.905	Water
1195	55.905	Soil
1272	55.905	Soil
1168	55.905	Soil
1210	55.905	Soil
1313	55.905	Soil
1165	55.905	Soil
1177	55.906	Soil
1151	55.905	Soil
1081	55.905	Soil
1414	55.905	Water
1238	55.905	Soil
1255	55.905	Soil
1093	55.905	Soil
959	55.905	Soil
1064	55.906	Soil
970	55.905	Soil
1044	55.906	Soil
815	55.906	Soil
393	55.905	Soil
514	55.905	Soil
475	55.905	Soil
693	55.905	Soil
1126	55.905	Soil
1062	55.905	Soil
963	55.905	Soil
1053	55.906	Soil
970	55.905	Soil
1078	55.906	Soil
1133	55.905	Soil
766	55.905	Soil
441	55.905	Soil
594	55.905	Soil
556	55.905	Soil
1132	55.905	Water
1194	55.905	Soil
1131	55.905	Soil
950	55.905	Soil
1000	55.906	Soil
915	55.905	Soil
1069	55.906	Soil
782	55.905	Soil
375	55.905	Soil
508	55.905	Soil
458	55.905	Soil
1174	55.905	Water
1239	55.905	Soil
855	55.905	Soil
840	55.905	Soil
1051	55.906	Soil
902	55.905	Soil
1053	55.906	Soil
1077	55.905	Soil
505	55.905	Soil
463	55.905	Soil
471	55.905	Soil
1128	55.905	Soil
1193	55.905	Soil
1152	55.905	Soil
1046	55.906	Soil
1031	55.905	Soil
1155	55.906	Soil
67	55.906	Water
1139	55.905	Soil
1086	55.905	Soil
996	55.906	Soil
1208	55.906	Soil
1163	55.905	Soil
1156	55.905	Soil
1102	55.905	Soil
1049	55.906	Soil
1137	55.906	Soil
1137	55.905	Soil
1152	55.905	Soil
1339	55.905	Soil
1327	55.906	Soil
1232	55.906	Soil
544	55.905	Water
1114	55.905	Soil
1145	55.905	Soil
1155	55.905	Soil
983	55.906	Soil
1098	55.906	Soil
1185	55.905	Soil
1237	55.905	Soil
1309	55.905	Soil
1253	55.906	Soil
1102	55.906	Soil
1177	55.906	Soil
733	55.905	Water
1148	55.905	Soil
1122	55.905	Soil
971	55.906	Soil
1129	55.906	Soil
1155	55.905	Soil
1101	55.905	Soil
1291	55.905	Soil
1282	55.906	Soil
1085	55.906	Soil
1188	55.906	Soil
1147	55.905	Soil
1160	55.905	Soil
1335	55.906	Water
1127	55.905	Soil
1001	55.906	Soil
1154	55.906	Soil
1168	55.905	Soil
1209	55.905	Soil
1317	55.905	Soil
1268	55.906	Soil
1115	55.906	Soil
1177	55.906	Soil
1197	55.905	Soil
1171	55.905	Soil
1347	55.905	Water
1186	55.905	Soil
1077	55.906	Soil
1109	55.906	Soil
1297	55.905	Soil
1239	55.905	Soil
1311	55.905	Soil
1298	55.906	Soil
1178	55.906	Soil
1183	55.905	Soil
1194	55.905	Soil
1204	55.905	Soil
1197	55.906	Soil
61	55.905	Water
1235	55.905	Soil
1190	55.905	Soil
73	55.873	Soil
51	55.873	Soil
715	55.873	Soil
387	55.873	Soil
325	55.873	Soil
185	55.873	Soil
285	55.873	Soil
271	55.873	Water
119	55.873	Soil
89	55.873	Soil
111	55.873	Soil
67	55.873	Soil
1103	55.873	Soil
411	55.873	Soil
306	55.873	Water
201	55.873	Soil
396	55.873	Soil
95	55.873	Water
170	55.873	Water
98	55.873	Soil
72	55.873	Soil
714	55.873	Water
217	55.873	Water
475	55.873	Water
632	55.873	Soil
472	55.873	Soil
541	55.873	Water
453	55.873	Soil
376	55.873	Soil
201	55.873	Soil
163	55.873	Water
85	55.873	Water
48	55.873	Soil
121	55.873	Soil
318	55.873	Water
428	55.873	Soil
488	55.873	Soil
238	55.873	Soil
352	55.873	Soil
331	55.873	Soil
162	55.873	Soil
149	55.873	Soil
259	55.873	Water
211	55.905	Water
414	55.905	Water
1259	55.905	Soil
1121	55.905	Soil
1073	55.906	Soil
1099	55.905	Soil
1074	55.905	Soil
1053	55.905	Soil
1248	55.905	Soil
1167	55.905	Soil
1125	55.905	Water
1262	55.905	Soil
1396	55.905	Soil
1274	55.905	Soil
1211	55.906	Soil
279	55.905	Water
1097	55.905	Soil
1075	55.905	Soil
1134	55.905	Soil
1171	55.905	Soil
1056	55.905	Soil
1241	55.905	Soil
979	55.905	Soil
1204	55.905	Soil
1079	55.905	Soil
1011	55.906	Soil
293	55.905	Water
1125	55.905	Soil
1070	55.905	Soil
1086	55.905	Soil
1316	55.906	Soil
1140	55.905	Soil
1057	55.905	Soil
1162	55.905	Soil
875	55.905	Soil
1267	55.905	Soil
1087	55.905	Soil
1081	55.906	Soil
1122	55.905	Soil
1309	55.905	Soil
116	55.906	Water
1192	55.905	Soil
1145	55.905	Soil
1092	55.905	Soil
1244	55.905	Soil
1324	55.905	Soil
1126	55.905	Soil
1069	55.906	Soil
1276	55.905	Soil
1187	55.905	Soil
1280	55.905	Soil
1341	55.906	Soil
1145	55.906	Soil
1165	55.905	Soil
1056	55.905	Soil
1204	55.905	Soil
1123	55.906	Soil
837	55.905	Water
1260	55.905	Soil
1215	55.905	Soil
1313	55.905	Soil
1268	55.906	Soil
1066	55.906	Soil
1218	55.906	Soil
1286	55.905	Soil
1125	55.905	Soil
1206	55.905	Soil
1047	55.906	Soil
1142	55.906	Soil
1249	55.905	Soil
1241	55.905	Soil
1311	55.905	Soil
1292	55.906	Soil
437	55.905	Water
112	55.905	Water
423	55.905	Soil
412	55.905	Soil
1005	55.906	Soil
718	55.906	Soil
772	55.905	Soil
574	55.905	Soil
981	55.905	Soil
858	55.906	Soil
855	55.906	Soil
1154	55.905	Water
349	55.905	Soil
382	55.905	Soil
261	55.906	Water
679	55.906	Soil
539	55.905	Soil
433	55.905	Soil
817	55.905	Soil
818	55.906	Soil
812	55.906	Soil
1201	55.905	Soil
385	55.905	Soil
369	55.905	Soil
242	55.905	Water
753	55.906	Soil
604	55.905	Soil
390	55.905	Soil
833	55.905	Soil
822	55.906	Soil
740	55.906	Soil
1268	55.905	Soil
402	55.905	Soil
399	55.905	Soil
418	55.905	Soil
759	55.906	Soil
726	55.906	Soil
1058	55.905	Water
507	55.905	Soil
348	55.905	Soil
856	55.905	Soil
671	55.906	Soil
1197	55.905	Soil
468	55.905	Soil
461	55.905	Soil
856	55.906	Soil
694	55.906	Soil
300	55.905	Water
451	55.905	Soil
518	55.905	Soil
887	55.905	Soil
679	55.906	Soil
1306	55.905	Soil
440	55.905	Soil
348	55.905	Soil
759	55.906	Soil
866	55.905	Soil
598	55.905	Soil
348	55.906	Water
708	55.906	Soil
1159	55.905	Soil
516	55.905	Soil
425	55.905	Soil
1036	55.906	Soil
813	55.906	Soil
875	55.905	Soil
642	55.905	Soil
100	55.905	Water
796	55.906	Soil
743	55.906	Soil
299	55.905	Soil
498	55.905	Soil
907	55.906	Soil
851	55.906	Soil
799	55.905	Soil
549	55.905	Soil
986	55.906	Soil
853	55.906	Soil
383	55.905	Water
1116	55.905	Soil
1169	55.905	Soil
1202	55.905	Soil
1139	55.905	Soil
1122	55.906	Soil
1162	55.906	Soil
1182	55.905	Soil
1257	55.905	Soil
1221	55.906	Soil
1099	55.906	Soil
1292	55.905	Soil
322	55.906	Water
1125	55.905	Soil
1136	55.906	Soil
1110	55.905	Soil
1176	55.905	Soil
1152	55.906	Soil
1205	55.906	Soil
1101	55.906	Soil
859	55.905	Water
1105	55.905	Soil
1209	55.906	Soil
1074	55.906	Soil
960	55.905	Soil
1159	55.905	Soil
1152	55.906	Soil
1120	55.905	Soil
1258	55.906	Soil
963	55.906	Soil
1131	55.905	Soil
1187	55.906	Soil
1181	55.906	Soil
1050	55.905	Soil
1073	55.905	Soil
1182	55.905	Soil
1172	55.906	Soil
1167	55.905	Soil
1242	55.906	Soil
695	55.906	Soil
1289	55.905	Soil
1165	55.906	Soil
1170	55.906	Soil
1122	55.905	Soil
1111	55.905	Soil
1188	55.906	Soil
1176	55.906	Soil
567	55.906	Soil
1203	55.905	Soil
1110	55.906	Soil
1105	55.906	Soil
1021	55.905	Soil
1207	55.905	Soil
